season,week,elim_count,week_correct,penalty
19,11,1,1,0.0
20,1,0,0,0.0
20,2,1,0,0.023896481947761138
20,3,1,1,0.0
20,4,1,1,0.006919310984544107
20,5,1,0,0.04915366711506483
20,6,1,1,4.02264453598835e-05
20,7,1,0,0.03582283056244954
20,8,2,1,0.0
20,9,1,0,0.035431135290165165
20,10,0,0,0.0
21,1,0,0,0.0
21,2,2,1,0.0
21,3,0,0,0.0
21,4,1,1,0.0
21,5,0,0,0.0
21,6,1,1,0.0
21,7,1,1,0.0
21,8,1,1,0.0
21,9,1,1,0.0
21,10,0,0,0.0
21,11,1,1,0.0
22,1,0,0,0.0
22,2,1,1,0.0
22,3,1,1,0.0
22,4,1,1,0.0003467900321401842
22,5,0,0,0.0
22,6,1,1,0.0
22,7,2,1,0.01
22,8,1,1,0.0
22,9,2,1,0.0
22,10,0,0,0.0
23,1,0,0,0.0
23,2,1,0,0.037230553455665
23,3,1,1,0.0029418818740720217
23,4,2,0,0.0419583423252485
23,5,0,0,0.0
23,6,1,1,0.003519395047052445
23,7,1,0,0.01688210925355861
23,8,1,0,0.06742965701850084
23,9,1,1,0.0
23,10,1,0,0.014544590776604518
23,11,1,1,0.0
24,1,0,0,0.0
24,2,1,1,0.0
24,3,1,1,0.0
24,4,1,1,0.0
24,5,1,0,0.0217434458654345
24,6,1,1,0.0008272509156513532
24,7,2,1,0.016164225099849064
24,8,1,0,0.01549121964138442
24,9,1,0,0.091465153155294
24,10,0,0,0.0
25,1,0,0,0.0
25,2,2,1,0.013726816637738053
25,3,0,0,0.0
25,4,1,0,0.0550306610727993
25,5,1,1,0.008892854417625894
25,6,1,1,0.0
25,7,2,0,0.036851652683825856
25,8,1,1,0.0
25,9,1,1,0.0
25,10,1,1,0.0
26,1,2,0,0.03248345797863463
26,2,2,0,0.09863716243969284
26,3,3,1,0.0035831535397267047
26,4,0,0,0.0
27,1,1,1,0.0
27,2,1,1,2.719216352194652e-05
27,3,1,0,0.05224005120263132
27,4,1,1,0.005125114795012811
27,5,0,0,0.0
27,6,1,0,0.011708983343889331
27,7,2,1,0.0
27,8,2,1,0.00024854401923573265
27,9,0,0,0.0
