season,week,contestant_id,celebrity_name,ballroom_partner,fan_rank_mean,fan_rank_std,fan_rank_p05,fan_rank_p95
2,1,5,Jerry Rice,Anna Trebunskaya,4.9717,0.6849423512986045,4.0,6.0
2,1,6,Giselle Fernandez,Jonathan Roberts,2.538,0.9009090762759427,1.0,4.0
2,1,7,Master P,Ashly DelGrosso,9.0,0.0,9.0,9.0
2,1,8,Drew Lachey,Cheryl Burke,1.3378,0.6397906635840503,1.0,3.0
2,1,9,Kenny Mayne,Andrea Hale,10.0,0.0,10.0,10.0
2,2,0,Tatum O'Neal,Nick Kosovich,9.0,0.0,9.0,9.0
2,2,1,Tia Carrere,Maksim Chmerkoskiy,5.3331,0.7674654978101835,4.0,6.0
2,2,2,George Hamilton,Edyta Sliwinska,5.3466,0.7636273650644443,4.0,6.0
2,2,3,Lisa Rinna,Louis van Amstel,6.9552,0.23194469132528853,7.0,7.0
2,2,4,Stacy Keibler,Tony Dovolani,1.0231,0.1502286486149911,1.0,1.0
2,2,5,Jerry Rice,Anna Trebunskaya,4.1634,0.7541600067171245,3.0,6.0
2,2,6,Giselle Fernandez,Jonathan Roberts,3.2002,0.4689796948647354,3.0,4.0
2,2,7,Master P,Ashly DelGrosso,8.0,0.0,8.0,8.0
2,2,8,Drew Lachey,Cheryl Burke,1.9784,0.1553571806688013,2.0,2.0
2,3,1,Tia Carrere,Maksim Chmerkoskiy,2.8258,0.7533333333333341,1.0,4.0
2,3,2,George Hamilton,Edyta Sliwinska,5.0008,0.048985711794317995,5.0,5.0
2,3,3,Lisa Rinna,Louis van Amstel,3.8036,0.46759908563906355,3.0,4.0
2,3,4,Stacy Keibler,Tony Dovolani,1.6898,0.7433917023496511,1.0,3.0
2,3,5,Jerry Rice,Anna Trebunskaya,5.9984,0.03996998573900156,6.0,6.0
2,3,6,Giselle Fernandez,Jonathan Roberts,8.0,0.0,8.0,8.0
2,3,7,Master P,Ashly DelGrosso,7.0,0.0,7.0,7.0
2,3,8,Drew Lachey,Cheryl Burke,1.6816,0.7299826898445932,1.0,3.0
2,4,1,Tia Carrere,Maksim Chmerkoskiy,3.8395,0.7468571011598926,2.0,5.0
2,4,2,George Hamilton,Edyta Sliwinska,5.9992,0.0282743690291117,6.0,6.0
2,4,3,Lisa Rinna,Louis van Amstel,2.6505,0.7533966489513123,2.0,4.0
2,4,4,Stacy Keibler,Tony Dovolani,2.6625,0.7652792400369445,2.0,4.0
2,4,5,Jerry Rice,Anna Trebunskaya,4.8051,0.46447342610353554,4.0,5.0
2,4,7,Master P,Ashly DelGrosso,7.0,0.0,7.0,7.0
2,4,8,Drew Lachey,Cheryl Burke,1.0432,0.22167244724454768,1.0,1.0
2,5,1,Tia Carrere,Maksim Chmerkoskiy,6.0,0.0,6.0,6.0
2,5,2,George Hamilton,Edyta Sliwinska,4.0037,0.5586747906896962,3.0,5.0
2,5,3,Lisa Rinna,Louis van Amstel,3.1591,0.44766866176120884,3.0,4.0
2,5,4,Stacy Keibler,Tony Dovolani,1.0014,0.03739224275142907,1.0,1.0
2,5,5,Jerry Rice,Anna Trebunskaya,4.8163,0.419490056128533,4.0,5.0
2,5,8,Drew Lachey,Cheryl Burke,2.0195,0.15073825726145393,2.0,2.0
2,6,2,George Hamilton,Edyta Sliwinska,5.0,0.0,5.0,5.0
2,6,3,Lisa Rinna,Louis van Amstel,2.9975,0.05190394399214964,3.0,3.0
2,6,4,Stacy Keibler,Tony Dovolani,1.5042,0.502202728744156,1.0,2.0
2,6,5,Jerry Rice,Anna Trebunskaya,4.0,0.0,4.0,4.0
2,6,8,Drew Lachey,Cheryl Burke,1.4983,0.5026155312335895,1.0,2.0
2,7,3,Lisa Rinna,Louis van Amstel,4.0,0.0,4.0,4.0
2,7,4,Stacy Keibler,Tony Dovolani,1.5044,0.50000564053224,1.0,2.0
2,7,5,Jerry Rice,Anna Trebunskaya,3.0,0.0,3.0,3.0
2,7,8,Drew Lachey,Cheryl Burke,1.4956,0.50000564053224,1.0,2.0
2,8,4,Stacy Keibler,Tony Dovolani,1.6495,0.5181472741024171,1.0,2.0
2,8,5,Jerry Rice,Anna Trebunskaya,2.9677,0.19042146946603283,3.0,3.0
2,8,8,Drew Lachey,Cheryl Burke,1.3828,0.5050640246215294,1.0,2.0
28,1,0,Kate Flannery,Pasha Pashkov,9.136,0.979591731281968,7.0,10.0
28,1,1,James Van Der Beek,Emma Slater,1.1796,0.41588596527607335,1.0,2.0
28,1,2,Kel Mitchell,Witney Carson,7.453,1.2394130120591162,5.0,10.0
28,1,3,Ray Lewis,Cheryl Burke,9.1588,0.9624319131859389,7.0,10.0
28,1,4,Lamar Odom,Peta Murgatroyd,11.8468,0.3601981874932566,11.0,12.0
28,1,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,4.1852,0.873256673448174,3.0,6.0
28,1,6,Sean Spicer,Lindsay Arnold,11.1513,0.3636227882754547,11.0,12.0
28,1,7,Mary Wilson,Brandon Armstrong,5.684,1.161929002951897,4.0,8.0
28,1,8,Lauren Alaina,Gleb Savchenko,3.0208,0.6764710794351306,2.0,4.0
28,1,9,Ally Brooke,Sasha Farber,7.4792,1.261794980437497,5.0,10.0
28,1,10,Karamo Brown,Jenna Johnson,5.6801,1.1734997657307031,4.0,8.0
28,1,11,Hannah Brown,Alan Bersten,2.0252,0.6043190218320238,1.0,3.0
28,2,0,Kate Flannery,Pasha Pashkov,2.5199,0.9000472201500598,2.0,4.0
28,2,1,James Van Der Beek,Emma Slater,4.1704,1.3718425693947287,2.0,7.0
28,2,2,Kel Mitchell,Witney Carson,4.1959,1.3740130935322685,2.0,7.0
28,2,3,Ray Lewis,Cheryl Burke,9.8443,0.37104080251060284,9.0,10.0
28,2,4,Lamar Odom,Peta Murgatroyd,10.9984,0.03996998573900158,11.0,11.0
28,2,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,7.6504,0.7609452961773115,6.0,8.0
28,2,6,Sean Spicer,Lindsay Arnold,9.131,0.40330542461830615,9.0,10.0
28,2,7,Mary Wilson,Brandon Armstrong,12.0,0.0,12.0,12.0
28,2,8,Lauren Alaina,Gleb Savchenko,6.1596,1.2652620000588308,4.0,8.0
28,2,9,Ally Brooke,Sasha Farber,4.156,1.3759554227272546,2.0,7.0
28,2,10,Karamo Brown,Jenna Johnson,6.173,1.2638159371808488,4.0,8.0
28,2,11,Hannah Brown,Alan Bersten,1.0011,0.033149658972438927,1.0,1.0
28,3,0,Kate Flannery,Pasha Pashkov,1.8244,0.895122765030834,1.0,4.0
28,3,1,James Van Der Beek,Emma Slater,3.2111,0.9251066815439287,1.0,4.0
28,3,2,Kel Mitchell,Witney Carson,6.363,0.6905640360377796,5.0,7.0
28,3,4,Lamar Odom,Peta Murgatroyd,9.9983,0.04119805490521137,10.0,10.0
28,3,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,3.2021,0.9130930751552049,1.0,4.0
28,3,6,Sean Spicer,Lindsay Arnold,8.8453,0.3663076959781389,8.0,9.0
28,3,8,Lauren Alaina,Gleb Savchenko,6.3267,0.6949931017939334,5.0,7.0
28,3,9,Ally Brooke,Sasha Farber,1.813,0.8816511389847392,1.0,4.0
28,3,10,Karamo Brown,Jenna Johnson,8.1563,0.36343296266551683,8.0,9.0
28,3,11,Hannah Brown,Alan Bersten,5.2598,0.6430748902977415,5.0,7.0
28,4,0,Kate Flannery,Pasha Pashkov,7.9591,0.2145502113243377,8.0,8.0
28,4,1,James Van Der Beek,Emma Slater,6.5227,0.5386220580074081,6.0,7.0
28,4,2,Kel Mitchell,Witney Carson,2.6457,1.2917965721577005,1.0,5.0
28,4,4,Lamar Odom,Peta Murgatroyd,10.0,0.0,10.0,10.0
28,4,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,4.3737,0.9872921475320541,2.0,5.0
28,4,6,Sean Spicer,Lindsay Arnold,9.0,0.0,9.0,9.0
28,4,8,Lauren Alaina,Gleb Savchenko,2.6764,1.2967078256563864,1.0,5.0
28,4,9,Ally Brooke,Sasha Farber,2.6462,1.2807769512916347,1.0,5.0
28,4,10,Karamo Brown,Jenna Johnson,6.5155,0.5379485931470466,6.0,7.0
28,4,11,Hannah Brown,Alan Bersten,2.6607,1.3005939660272343,1.0,5.0
28,5,0,Kate Flannery,Pasha Pashkov,5.456,0.9300271474798485,4.0,7.0
28,5,1,James Van Der Beek,Emma Slater,2.5413,0.9409478456773417,1.0,4.0
28,5,2,Kel Mitchell,Witney Carson,2.538,0.9459627289425573,1.0,4.0
28,5,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,5.4679,0.9467096787936584,4.0,7.0
28,5,6,Sean Spicer,Lindsay Arnold,8.9796,0.14137127920429363,9.0,9.0
28,5,8,Lauren Alaina,Gleb Savchenko,6.6855,0.6647058999236711,5.0,7.0
28,5,9,Ally Brooke,Sasha Farber,1.3474,0.6503503175624327,1.0,3.0
28,5,10,Karamo Brown,Jenna Johnson,7.9965,0.21608428735547658,8.0,8.0
28,5,11,Hannah Brown,Alan Bersten,3.9878,0.9853670660345224,2.0,6.0
28,6,0,Kate Flannery,Pasha Pashkov,1.8705,1.0053013543616216,1.0,4.0
28,6,1,James Van Der Beek,Emma Slater,1.8531,0.967167995434681,1.0,4.0
28,6,2,Kel Mitchell,Witney Carson,3.5322,1.3109290650150929,1.0,6.0
28,6,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,6.9282,1.148815362742757,5.0,9.0
28,6,6,Sean Spicer,Lindsay Arnold,8.9327,0.2513504082009218,8.0,9.0
28,6,8,Lauren Alaina,Gleb Savchenko,3.5539,1.3086122560191997,1.0,6.0
28,6,9,Ally Brooke,Sasha Farber,5.485,1.352463646754169,3.0,8.0
28,6,10,Karamo Brown,Jenna Johnson,5.7223,1.4294009335042652,3.0,8.0
28,6,11,Hannah Brown,Alan Bersten,7.1221,0.9910044394350098,5.0,8.0
28,7,0,Kate Flannery,Pasha Pashkov,5.9048,0.3437277627388976,5.0,6.0
28,7,1,James Van Der Beek,Emma Slater,2.225,1.0998617956802377,1.0,4.0
28,7,2,Kel Mitchell,Witney Carson,4.555,0.8684759208190536,3.0,6.0
28,7,6,Sean Spicer,Lindsay Arnold,7.0046,0.08233782819454973,7.0,7.0
28,7,8,Lauren Alaina,Gleb Savchenko,2.218,1.0894010645616015,1.0,4.0
28,7,9,Ally Brooke,Sasha Farber,2.2172,1.0866196364061422,1.0,4.0
28,7,10,Karamo Brown,Jenna Johnson,7.9942,0.07724607883685465,8.0,8.0
28,7,11,Hannah Brown,Alan Bersten,3.8812,1.0497603343982702,2.0,5.0
28,8,0,Kate Flannery,Pasha Pashkov,7.0,0.0,7.0,7.0
28,8,1,James Van Der Beek,Emma Slater,1.2013,0.4686152686661024,1.0,2.0
28,8,2,Kel Mitchell,Witney Carson,3.3233,0.7351402268379224,2.0,4.0
28,8,6,Sean Spicer,Lindsay Arnold,6.0,0.0,6.0,6.0
28,8,8,Lauren Alaina,Gleb Savchenko,5.0,0.0,5.0,5.0
28,8,9,Ally Brooke,Sasha Farber,3.3257,0.7276485808724736,2.0,4.0
28,8,11,Hannah Brown,Alan Bersten,2.1497,0.7360326653134633,1.0,4.0
28,9,1,James Van Der Beek,Emma Slater,3.308,0.8367831383351714,2.0,5.0
28,9,2,Kel Mitchell,Witney Carson,2.258,0.5621989032012386,2.0,3.0
28,9,6,Sean Spicer,Lindsay Arnold,6.0,0.0,6.0,6.0
28,9,8,Lauren Alaina,Gleb Savchenko,4.5074,0.7188858878097198,3.0,5.0
28,9,9,Ally Brooke,Sasha Farber,1.0013,0.03603387078825137,1.0,1.0
28,9,11,Hannah Brown,Alan Bersten,3.9253,0.8349788194696287,3.0,5.0
28,10,1,James Van Der Beek,Emma Slater,5.0,0.0,5.0,5.0
28,10,2,Kel Mitchell,Witney Carson,1.9743,0.5646869904112485,1.0,3.0
28,10,8,Lauren Alaina,Gleb Savchenko,3.4357,0.6090177339454298,2.0,4.0
28,10,9,Ally Brooke,Sasha Farber,1.1675,0.39630727465641497,1.0,2.0
28,10,11,Hannah Brown,Alan Bersten,3.4225,0.6122346226107375,2.0,4.0
28,11,2,Kel Mitchell,Witney Carson,2.1529,0.9225002388449894,1.0,4.0
28,11,8,Lauren Alaina,Gleb Savchenko,3.4679,0.775003001907281,2.0,4.0
28,11,9,Ally Brooke,Sasha Farber,1.5295,0.7647144753585379,1.0,3.0
28,11,11,Hannah Brown,Alan Bersten,2.8497,0.9178203252352499,1.0,4.0
29,1,0,Anne Heche,Keo Motsepe,7.9797,1.8624271189706596,5.0,11.0
29,1,1,Jesse Metcalfe,Sharna Burgess,7.9434,1.865889759460471,5.0,11.0
29,1,2,Chrishell Stause,Gleb Savchenko,13.1731,0.41346521661263685,13.0,14.0
29,1,3,Skai Jackson,Alan Bersten,1.8371,0.9383238434376036,1.0,4.0
29,1,4,Justina Machado,Sasha Farber,1.8337,0.9300165606484168,1.0,4.0
29,1,5,Charles Oakley,Emma Slater,14.005,0.5522730308009388,13.0,15.0
29,1,6,Veron Davis,Peta Murgatroyd,10.3595,1.352568924036562,8.0,12.0
29,1,7,Johnny Weir,Britt Stewart,7.9713,1.8617795068947411,5.0,11.0
29,1,8,Nev Schulman,Jenna Johnson,3.4534,1.2304388802308688,1.0,5.0
29,1,9,AJ McLean,Cheryl Burke,8.0185,1.8519451179967552,5.0,11.0
29,1,10,Nelly,Daniella Karagach,11.7334,0.6412219245749913,11.0,12.0
29,1,11,Kaitlyn Bristowe,Artem Chigvintsev,3.4607,1.225236969146399,1.0,5.0
29,1,12,Carole Baskin,Pasha Pashkov,14.8201,0.4158765265418728,14.0,15.0
29,1,13,Monica Aldama,Valentin Chmerkovskiy,5.4407,1.5698184426851107,3.0,8.049999999999272
29,1,14,Jeannie Mai,Brandon Armstrong,7.9704,1.8343555615072586,5.0,11.0
29,2,0,Anne Heche,Keo Motsepe,8.3502,1.9745758671131093,5.0,11.0
29,2,1,Jesse Metcalfe,Sharna Burgess,3.9635,1.0248281696351496,2.0,6.0
29,2,2,Chrishell Stause,Gleb Savchenko,8.363,1.984848851297311,5.0,11.0
29,2,3,Skai Jackson,Alan Bersten,13.677,0.6065540295629716,12.0,14.0
29,2,4,Justina Machado,Sasha Farber,2.5371,0.9184268837496434,1.0,4.0
29,2,5,Charles Oakley,Emma Slater,14.9999,0.010000000000000125,15.0,15.0
29,2,6,Veron Davis,Peta Murgatroyd,8.3503,1.97306340696917,5.0,11.0
29,2,7,Johnny Weir,Britt Stewart,8.3642,1.9740182458132147,5.0,11.0
29,2,8,Nev Schulman,Jenna Johnson,2.5332,0.9325152644712293,1.0,4.0
29,2,9,AJ McLean,Cheryl Burke,5.7046,1.5593530704108738,4.0,9.0
29,2,10,Nelly,Daniella Karagach,8.3555,1.9907576601902437,5.0,11.0
29,2,11,Kaitlyn Bristowe,Artem Chigvintsev,1.3288,0.6250837007659831,1.0,3.0
29,2,12,Carole Baskin,Pasha Pashkov,12.537,0.9175593667546269,11.0,14.0
29,2,13,Monica Aldama,Valentin Chmerkovskiy,12.5198,0.9350376407070217,11.0,14.0
29,2,14,Jeannie Mai,Brandon Armstrong,8.4159,1.9739596859318487,5.0,11.0
29,3,0,Anne Heche,Keo Motsepe,12.9974,0.05285375437880645,13.0,13.0
29,3,1,Jesse Metcalfe,Sharna Burgess,8.8281,0.9461711864094132,7.0,10.0
29,3,2,Chrishell Stause,Gleb Savchenko,5.1249,1.4586681463842697,3.0,8.0
29,3,3,Skai Jackson,Alan Bersten,11.3232,0.7424263463051193,10.0,12.0
29,3,4,Justina Machado,Sasha Farber,10.0954,0.8230228287585135,9.0,12.0
29,3,6,Veron Davis,Peta Murgatroyd,5.1341,1.4715072964047184,3.0,8.0
29,3,7,Johnny Weir,Britt Stewart,1.7309,0.839258974073293,1.0,3.0
29,3,8,Nev Schulman,Jenna Johnson,1.7288,0.8398339669894345,1.0,3.0
29,3,9,AJ McLean,Cheryl Burke,7.1921,1.3210496232960856,5.0,9.0
29,3,10,Nelly,Daniella Karagach,11.3267,0.7304933073254036,10.0,12.0
29,3,11,Kaitlyn Bristowe,Artem Chigvintsev,3.2044,1.19363441484888,1.0,5.0
29,3,12,Carole Baskin,Pasha Pashkov,14.0,0.0,14.0,14.0
29,3,13,Monica Aldama,Valentin Chmerkovskiy,7.161,1.2938494520771977,5.0,9.0
29,3,14,Jeannie Mai,Brandon Armstrong,5.153,1.4368707178260596,3.0,8.0
29,4,0,Anne Heche,Keo Motsepe,12.9961,0.07270019622981204,13.0,13.0
29,4,1,Jesse Metcalfe,Sharna Burgess,10.6776,1.2047420389187182,8.0,12.0
29,4,2,Chrishell Stause,Gleb Savchenko,8.8505,1.239154268172463,7.0,11.0
29,4,3,Skai Jackson,Alan Bersten,1.0014,0.037392242751429015,1.0,1.0
29,4,4,Justina Machado,Sasha Farber,4.8663,1.642039566939221,2.0,7.0
29,4,6,Veron Davis,Peta Murgatroyd,8.8756,1.2120526173210115,7.0,11.0
29,4,7,Johnny Weir,Britt Stewart,4.9049,1.6449700856423677,2.0,7.0
29,4,8,Nev Schulman,Jenna Johnson,4.8948,1.6749368648848042,2.0,7.0
29,4,9,AJ McLean,Cheryl Burke,4.8997,1.6553289465819614,2.0,7.0
29,4,10,Nelly,Daniella Karagach,10.6693,1.1971970757080101,8.0,12.0
29,4,11,Kaitlyn Bristowe,Artem Chigvintsev,2.774,1.1938452691419676,2.0,5.0
29,4,13,Monica Aldama,Valentin Chmerkovskiy,4.8954,1.6488573962205824,2.0,7.0
29,4,14,Jeannie Mai,Brandon Armstrong,10.6944,1.19379694886338,8.0,12.0
29,5,1,Jesse Metcalfe,Sharna Burgess,12.0,0.0,12.0,12.0
29,5,2,Chrishell Stause,Gleb Savchenko,10.9807,0.1375841667500082,11.0,11.0
29,5,3,Skai Jackson,Alan Bersten,6.9775,1.4874861382551254,5.0,9.0
29,5,4,Justina Machado,Sasha Farber,6.941,1.4995812330072134,5.0,9.0
29,5,6,Veron Davis,Peta Murgatroyd,10.0136,0.16005499604878337,10.0,10.0
29,5,7,Johnny Weir,Britt Stewart,1.0238,0.15632019575333211,1.0,1.0
29,5,8,Nev Schulman,Jenna Johnson,3.4513,0.883123038217247,2.0,5.0
29,5,9,AJ McLean,Cheryl Burke,6.9574,1.4841177515783768,5.0,9.0
29,5,10,Nelly,Daniella Karagach,6.9457,1.4796521371743785,5.0,9.0
29,5,11,Kaitlyn Bristowe,Artem Chigvintsev,2.3018,0.6404356140765257,2.0,4.0
29,5,13,Monica Aldama,Valentin Chmerkovskiy,3.4513,0.8814227139120354,2.0,5.0
29,5,14,Jeannie Mai,Brandon Armstrong,6.9559,1.482894159240216,5.0,9.0
29,6,2,Chrishell Stause,Gleb Savchenko,7.3414,0.7701333329593348,6.0,8.0
29,6,3,Skai Jackson,Alan Bersten,10.0,0.0,10.0,10.0
29,6,4,Justina Machado,Sasha Farber,2.6743,1.3240826369539598,1.0,5.0
29,6,6,Veron Davis,Peta Murgatroyd,11.0,0.0,11.0,11.0
29,6,7,Johnny Weir,Britt Stewart,8.9548,0.2327281165601267,9.0,9.0
29,6,8,Nev Schulman,Jenna Johnson,4.5864,1.1799467222831477,2.0,6.0
29,6,9,AJ McLean,Cheryl Burke,2.6536,1.3158192041529886,1.0,5.0
29,6,10,Nelly,Daniella Karagach,7.3394,0.7776040810146799,6.0,8.0
29,6,11,Kaitlyn Bristowe,Artem Chigvintsev,2.6888,1.340796156555256,1.0,5.0
29,6,13,Monica Aldama,Valentin Chmerkovskiy,2.6933,1.3367923591123416,1.0,5.0
29,6,14,Jeannie Mai,Brandon Armstrong,6.068,0.8963572645070503,5.0,8.0
29,7,2,Chrishell Stause,Gleb Savchenko,5.713,1.546890521992006,3.0,8.0
29,7,3,Skai Jackson,Alan Bersten,3.4901,1.4087229820103035,2.0,6.0
29,7,4,Justina Machado,Sasha Farber,5.7426,1.5433675642386093,3.0,8.0
29,7,7,Johnny Weir,Britt Stewart,3.4832,1.389428231712999,2.0,6.0
29,7,8,Nev Schulman,Jenna Johnson,1.0031,0.05559405606633659,1.0,1.0
29,7,9,AJ McLean,Cheryl Burke,5.6836,1.5532972391758528,3.0,8.0
29,7,10,Nelly,Daniella Karagach,3.4954,1.4211899303336653,2.0,6.0
29,7,11,Kaitlyn Bristowe,Artem Chigvintsev,8.7726,0.5311472975975453,8.0,9.0
29,7,13,Monica Aldama,Valentin Chmerkovskiy,10.0,0.0,10.0,10.0
29,7,14,Jeannie Mai,Brandon Armstrong,7.6164,1.0812807021285822,5.0,9.0
29,8,2,Chrishell Stause,Gleb Savchenko,7.9967,0.06549457194222563,8.0,8.0
29,8,3,Skai Jackson,Alan Bersten,5.3185,0.7484074835115806,4.0,6.0
29,8,4,Justina Machado,Sasha Farber,2.8902,0.8100676397425686,1.0,4.0
29,8,7,Johnny Weir,Britt Stewart,1.6666,0.7208997223199378,1.0,3.0
29,8,8,Nev Schulman,Jenna Johnson,1.6846,0.7413351453828274,1.0,3.0
29,8,9,AJ McLean,Cheryl Burke,5.324,0.7384297717811651,4.0,6.0
29,8,10,Nelly,Daniella Karagach,7.001,0.06927827904902645,7.0,7.0
29,8,11,Kaitlyn Bristowe,Artem Chigvintsev,4.1184,0.7986521298553295,3.0,6.0
29,9,3,Skai Jackson,Alan Bersten,3.2048,0.8710527155593549,1.0,4.0
29,9,4,Justina Machado,Sasha Farber,5.0194,0.1510825026012581,5.0,5.0
29,9,7,Johnny Weir,Britt Stewart,1.7929,0.8811851330588099,1.0,4.0
29,9,8,Nev Schulman,Jenna Johnson,3.1935,0.8755195048885794,1.0,4.0
29,9,9,AJ McLean,Cheryl Burke,7.0,0.0,7.0,7.0
29,9,10,Nelly,Daniella Karagach,5.9788,0.14405774975171012,6.0,6.0
29,9,11,Kaitlyn Bristowe,Artem Chigvintsev,1.8106,0.8675268873585582,1.0,4.0
29,10,3,Skai Jackson,Alan Bersten,5.4905,0.5185910177243401,5.0,6.0
29,10,4,Justina Machado,Sasha Farber,2.8445,0.7410632007236274,1.0,4.0
29,10,7,Johnny Weir,Britt Stewart,5.4891,0.5212565211449001,5.0,6.0
29,10,8,Nev Schulman,Jenna Johnson,1.6713,0.7300065759704482,1.0,3.0
29,10,10,Nelly,Daniella Karagach,3.8238,0.49089475222880224,3.0,4.0
29,10,11,Kaitlyn Bristowe,Artem Chigvintsev,1.6808,0.727849116530096,1.0,3.0
29,11,4,Justina Machado,Sasha Farber,2.0632,0.9068009642688322,1.0,3.0499999999992724
29,11,8,Nev Schulman,Jenna Johnson,2.0711,0.9148379544204989,1.0,4.0
29,11,10,Nelly,Daniella Karagach,3.8004,0.5134064653078139,3.0,4.0
29,11,11,Kaitlyn Bristowe,Artem Chigvintsev,2.0653,0.9070381369149717,1.0,4.0
30,1,0,Martin Kove,Britt Stewart,15.0,0.0,15.0,15.0
30,1,1,Brian Austin Green,Sharna Burgess,10.155,1.5785512922988132,7.0,12.0
30,1,2,Melora Hardin,Artem Chigvintsev,5.7022,1.2771367459386573,4.0,8.0
30,1,3,Matt James,Lindsay Arnold,10.1877,1.5679651021167995,7.0,12.0
30,1,4,"Mike ""The Miz"" Mizanin",Witney Carson,10.1523,1.5897035653676361,7.0,12.0
30,1,5,Suni Lee,Sasha Farber,2.5253,0.9263075701792868,1.0,4.0
30,1,6,Iman Shumpert,Daniella Karagach,13.832,0.3836544266288448,13.0,14.0
30,1,7,Cody Rigsby,Cheryl Burke,10.1569,1.585728174494084,7.0,12.0
30,1,8,Melanie C,Gleb Savchenko,4.0465,1.0514981287817313,2.0,6.0
30,1,9,Jimmie Allen,Emma Slater,13.0741,0.5548332848679864,12.0,14.0
30,1,10,Olivia Jade,Valentin Chmerkovskiy,7.7926,1.6074960791132393,5.0,11.0
30,1,11,JoJo Siwa,Jenna Johnson,1.344,0.6449074278988077,1.0,3.0
30,1,12,Christine Chiu,Pasha Pashkov,7.7807,1.6179830953782224,5.0,11.0
30,1,13,Kenya Moore,Brandon Armstrong,5.708,1.2847961200544662,4.0,8.0
30,1,14,Amanda Kloots,Alan Bersten,2.5427,0.9525058722882875,1.0,4.0
30,2,0,Martin Kove,Britt Stewart,15.0,0.0,15.0,15.0
30,2,1,Brian Austin Green,Sharna Burgess,12.6826,0.9842530748804099,11.0,14.0
30,2,2,Melora Hardin,Artem Chigvintsev,6.0218,1.2006118885346315,4.0,8.0
30,2,3,Matt James,Lindsay Arnold,13.7662,0.5353187990549755,13.0,14.0
30,2,4,"Mike ""The Miz"" Mizanin",Witney Carson,7.7442,1.0758634245157797,6.0,9.0
30,2,5,Suni Lee,Sasha Farber,4.4733,0.8623001021376587,4.0,6.0
30,2,6,Iman Shumpert,Daniella Karagach,9.2545,1.0896093221184755,8.0,11.0
30,2,7,Cody Rigsby,Cheryl Burke,10.9843,1.236691736304994,9.0,13.0
