season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon,k_actual,status,worse_definite,worse_possible
1,1,4,Joey McIntyre,Ashly DelGrosso,1,1.0,3.0,2.0,4.0,0,0.1,0,no_elimination,,
1,1,5,Trista Sutter,Louis van Amstel,4,4.0,6.0,8.0,10.0,0,0.1,0,no_elimination,,
1,2,0,John O'Hurley,Charlotte Jorgensen,1,1.0,1.0,2.0,2.0,0,0.01,1,always_safe,5.0,5.0
1,2,1,Kelly Monaco,Alec Mazo,5,4.0,4.0,9.0,9.0,0,0.01,1,always_safe,1.0,1.0
1,2,2,Evander Holyfield,Edyta Sliwinska,6,3.0,3.0,9.0,9.0,0,0.01,1,always_safe,1.0,1.0
1,2,3,Rachel Hunter,Jonathan Roberts,2,2.0,2.0,4.0,4.0,0,0.01,1,always_safe,4.0,4.0
1,2,4,Joey McIntyre,Ashly DelGrosso,3,5.0,5.0,8.0,8.0,0,0.01,1,always_safe,3.0,3.0
1,2,5,Trista Sutter,Louis van Amstel,4,6.0,6.0,10.0,10.0,1,0.01,1,always_eliminated,0.0,0.0
1,2,0,John O'Hurley,Charlotte Jorgensen,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,4.0,5.0
1,2,1,Kelly Monaco,Alec Mazo,5,4.0,4.0,9.0,9.0,0,0.05,1,always_safe,1.0,1.0
1,2,2,Evander Holyfield,Edyta Sliwinska,6,3.0,3.0,9.0,9.0,0,0.05,1,always_safe,1.0,1.0
1,2,3,Rachel Hunter,Jonathan Roberts,2,1.0,2.0,3.0,4.0,0,0.05,1,always_safe,4.0,4.0
1,2,4,Joey McIntyre,Ashly DelGrosso,3,5.0,5.0,8.0,8.0,0,0.05,1,always_safe,3.0,3.0
1,2,5,Trista Sutter,Louis van Amstel,4,6.0,6.0,10.0,10.0,1,0.05,1,always_eliminated,0.0,0.0
1,2,0,John O'Hurley,Charlotte Jorgensen,1,1.0,2.0,2.0,3.0,0,0.1,1,always_safe,4.0,5.0
1,2,1,Kelly Monaco,Alec Mazo,5,4.0,4.0,9.0,9.0,0,0.1,1,always_safe,1.0,1.0
1,2,2,Evander Holyfield,Edyta Sliwinska,6,3.0,3.0,9.0,9.0,0,0.1,1,always_safe,1.0,1.0
1,2,3,Rachel Hunter,Jonathan Roberts,2,1.0,2.0,3.0,4.0,0,0.1,1,always_safe,4.0,4.0
1,2,4,Joey McIntyre,Ashly DelGrosso,3,5.0,5.0,8.0,8.0,0,0.1,1,always_safe,3.0,3.0
1,2,5,Trista Sutter,Louis van Amstel,4,6.0,6.0,10.0,10.0,1,0.1,1,always_eliminated,0.0,0.0
1,3,0,John O'Hurley,Charlotte Jorgensen,2,2.0,2.0,4.0,4.0,0,0.01,1,always_safe,3.0,3.0
1,3,1,Kelly Monaco,Alec Mazo,4,4.0,4.0,8.0,8.0,0,0.01,1,always_safe,1.0,1.0
1,3,2,Evander Holyfield,Edyta Sliwinska,5,5.0,5.0,10.0,10.0,1,0.01,1,always_eliminated,0.0,0.0
1,3,3,Rachel Hunter,Jonathan Roberts,1,1.0,1.0,2.0,2.0,0,0.01,1,always_safe,4.0,4.0
1,3,4,Joey McIntyre,Ashly DelGrosso,3,3.0,3.0,6.0,6.0,0,0.01,1,always_safe,2.0,2.0
1,3,0,John O'Hurley,Charlotte Jorgensen,2,1.0,2.0,3.0,4.0,0,0.05,1,always_safe,3.0,3.0
1,3,1,Kelly Monaco,Alec Mazo,4,3.0,4.0,7.0,8.0,0,0.05,1,always_safe,1.0,1.0
1,3,2,Evander Holyfield,Edyta Sliwinska,5,5.0,5.0,10.0,10.0,1,0.05,1,always_eliminated,0.0,0.0
1,3,3,Rachel Hunter,Jonathan Roberts,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,3.0,4.0
1,3,4,Joey McIntyre,Ashly DelGrosso,3,3.0,4.0,6.0,7.0,0,0.05,1,always_safe,1.0,2.0
1,3,0,John O'Hurley,Charlotte Jorgensen,2,1.0,3.0,3.0,5.0,0,0.1,1,always_safe,2.0,3.0
1,3,1,Kelly Monaco,Alec Mazo,4,3.0,4.0,7.0,8.0,0,0.1,1,always_safe,1.0,1.0
1,3,2,Evander Holyfield,Edyta Sliwinska,5,5.0,5.0,10.0,10.0,1,0.1,1,always_eliminated,0.0,0.0
1,3,3,Rachel Hunter,Jonathan Roberts,1,1.0,2.0,2.0,3.0,0,0.1,1,always_safe,3.0,4.0
1,3,4,Joey McIntyre,Ashly DelGrosso,3,2.0,4.0,5.0,7.0,0,0.1,1,always_safe,1.0,2.0
1,4,0,John O'Hurley,Charlotte Jorgensen,3,2.0,2.0,5.0,5.0,0,0.01,1,always_safe,1.0,1.0
1,4,1,Kelly Monaco,Alec Mazo,1,3.0,3.0,4.0,4.0,0,0.01,1,always_safe,3.0,3.0
1,4,3,Rachel Hunter,Jonathan Roberts,2,4.0,4.0,6.0,6.0,1,0.01,1,always_eliminated,0.0,0.0
1,4,4,Joey McIntyre,Ashly DelGrosso,4,1.0,1.0,5.0,5.0,0,0.01,1,always_safe,1.0,1.0
1,4,0,John O'Hurley,Charlotte Jorgensen,3,2.0,2.0,5.0,5.0,0,0.05,1,always_safe,1.0,1.0
1,4,1,Kelly Monaco,Alec Mazo,1,3.0,3.0,4.0,4.0,0,0.05,1,always_safe,3.0,3.0
1,4,3,Rachel Hunter,Jonathan Roberts,2,4.0,4.0,6.0,6.0,1,0.05,1,always_eliminated,0.0,0.0
1,4,4,Joey McIntyre,Ashly DelGrosso,4,1.0,1.0,5.0,5.0,0,0.05,1,always_safe,1.0,1.0
1,4,0,John O'Hurley,Charlotte Jorgensen,3,2.0,2.0,5.0,5.0,0,0.1,1,always_safe,1.0,1.0
1,4,1,Kelly Monaco,Alec Mazo,1,3.0,3.0,4.0,4.0,0,0.1,1,always_safe,3.0,3.0
1,4,3,Rachel Hunter,Jonathan Roberts,2,4.0,4.0,6.0,6.0,1,0.1,1,always_eliminated,0.0,0.0
1,4,4,Joey McIntyre,Ashly DelGrosso,4,1.0,1.0,5.0,5.0,0,0.1,1,always_safe,1.0,1.0
1,5,0,John O'Hurley,Charlotte Jorgensen,1,1.0,1.0,2.0,2.0,0,0.01,0,no_elimination,,
1,5,1,Kelly Monaco,Alec Mazo,2,2.0,2.0,4.0,4.0,0,0.01,0,no_elimination,,
1,5,4,Joey McIntyre,Ashly DelGrosso,3,3.0,3.0,6.0,6.0,0,0.01,0,no_elimination,,
1,5,0,John O'Hurley,Charlotte Jorgensen,1,1.0,2.0,2.0,3.0,0,0.05,0,no_elimination,,
1,5,1,Kelly Monaco,Alec Mazo,2,1.0,3.0,3.0,5.0,0,0.05,0,no_elimination,,
1,5,4,Joey McIntyre,Ashly DelGrosso,3,2.0,3.0,5.0,6.0,0,0.05,0,no_elimination,,
1,5,0,John O'Hurley,Charlotte Jorgensen,1,1.0,2.0,2.0,3.0,0,0.1,0,no_elimination,,
1,5,1,Kelly Monaco,Alec Mazo,2,1.0,3.0,3.0,5.0,0,0.1,0,no_elimination,,
1,5,4,Joey McIntyre,Ashly DelGrosso,3,2.0,3.0,5.0,6.0,0,0.1,0,no_elimination,,
1,6,0,John O'Hurley,Charlotte Jorgensen,2,2.0,2.0,4.0,4.0,0,0.01,0,no_elimination,,
1,6,1,Kelly Monaco,Alec Mazo,1,1.0,1.0,2.0,2.0,0,0.01,0,no_elimination,,
1,6,0,John O'Hurley,Charlotte Jorgensen,2,1.0,2.0,3.0,4.0,0,0.05,0,no_elimination,,
1,6,1,Kelly Monaco,Alec Mazo,1,1.0,2.0,2.0,3.0,0,0.05,0,no_elimination,,
1,6,0,John O'Hurley,Charlotte Jorgensen,2,1.0,2.0,3.0,4.0,0,0.1,0,no_elimination,,
1,6,1,Kelly Monaco,Alec Mazo,1,1.0,2.0,2.0,3.0,0,0.1,0,no_elimination,,
2,1,0,Tatum O'Neal,Nick Kosovich,2,2.0,3.0,4.0,5.0,0,0.01,1,always_safe,7.0,8.0
2,1,1,Tia Carrere,Maksim Chmerkoskiy,6,6.0,6.0,12.0,12.0,0,0.01,1,always_safe,4.0,4.0
2,1,2,George Hamilton,Edyta Sliwinska,8,9.0,9.0,17.0,17.0,0,0.01,1,always_safe,2.0,2.0
2,1,3,Lisa Rinna,Louis van Amstel,7,7.0,7.0,14.0,14.0,0,0.01,1,always_safe,3.0,3.0
2,1,4,Stacy Keibler,Tony Dovolani,4,4.0,4.0,8.0,8.0,0,0.01,1,always_safe,6.0,6.0
2,1,5,Jerry Rice,Anna Trebunskaya,5,5.0,5.0,10.0,10.0,0,0.01,1,always_safe,5.0,5.0
2,1,6,Giselle Fernandez,Jonathan Roberts,2,2.0,3.0,4.0,5.0,0,0.01,1,always_safe,7.0,8.0
2,1,7,Master P,Ashly DelGrosso,10,8.0,8.0,18.0,18.0,0,0.01,1,always_safe,1.0,1.0
2,1,8,Drew Lachey,Cheryl Burke,1,1.0,1.0,2.0,2.0,0,0.01,1,always_safe,9.0,9.0
2,1,9,Kenny Mayne,Andrea Hale,9,10.0,10.0,19.0,19.0,1,0.01,1,always_eliminated,0.0,0.0
2,1,0,Tatum O'Neal,Nick Kosovich,2,1.0,4.0,3.0,6.0,0,0.05,1,always_safe,7.0,8.0
2,1,1,Tia Carrere,Maksim Chmerkoskiy,6,5.0,7.0,11.0,13.0,0,0.05,1,always_safe,3.0,4.0
2,1,2,George Hamilton,Edyta Sliwinska,8,9.0,9.0,17.0,17.0,0,0.05,1,always_safe,2.0,2.0
2,1,3,Lisa Rinna,Louis van Amstel,7,6.0,7.0,13.0,14.0,0,0.05,1,always_safe,3.0,3.0
2,1,4,Stacy Keibler,Tony Dovolani,4,3.0,5.0,7.0,9.0,0,0.05,1,always_safe,5.0,6.0
2,1,5,Jerry Rice,Anna Trebunskaya,5,4.0,6.0,9.0,11.0,0,0.05,1,always_safe,4.0,5.0
2,1,6,Giselle Fernandez,Jonathan Roberts,2,1.0,3.0,3.0,5.0,0,0.05,1,always_safe,7.0,8.0
2,1,7,Master P,Ashly DelGrosso,10,8.0,8.0,18.0,18.0,0,0.05,1,always_safe,1.0,1.0
2,1,8,Drew Lachey,Cheryl Burke,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,7.0,9.0
2,1,9,Kenny Mayne,Andrea Hale,9,10.0,10.0,19.0,19.0,1,0.05,1,always_eliminated,0.0,0.0
2,1,0,Tatum O'Neal,Nick Kosovich,2,1.0,4.0,3.0,6.0,0,0.1,1,always_safe,6.0,9.0
2,1,1,Tia Carrere,Maksim Chmerkoskiy,6,4.0,7.0,10.0,13.0,0,0.1,1,always_safe,3.0,5.0
2,1,2,George Hamilton,Edyta Sliwinska,8,7.0,9.0,15.0,17.0,0,0.1,1,always_safe,1.0,3.0
2,1,3,Lisa Rinna,Louis van Amstel,7,5.0,9.0,12.0,16.0,0,0.1,1,always_safe,2.0,4.0
2,1,4,Stacy Keibler,Tony Dovolani,4,2.0,6.0,6.0,10.0,0,0.1,1,always_safe,4.0,6.0
2,1,5,Jerry Rice,Anna Trebunskaya,5,4.0,7.0,9.0,12.0,0,0.1,1,always_safe,3.0,6.0
2,1,6,Giselle Fernandez,Jonathan Roberts,2,1.0,4.0,3.0,6.0,0,0.1,1,always_safe,6.0,9.0
2,1,7,Master P,Ashly DelGrosso,10,7.0,9.0,17.0,19.0,0,0.1,1,uncertain,0.0,1.0
2,1,8,Drew Lachey,Cheryl Burke,1,1.0,3.0,2.0,4.0,0,0.1,1,always_safe,7.0,9.0
2,1,9,Kenny Mayne,Andrea Hale,9,10.0,10.0,19.0,19.0,1,0.1,1,always_eliminated,0.0,0.0
2,2,0,Tatum O'Neal,Nick Kosovich,8,9.0,9.0,17.0,17.0,1,0.01,1,always_eliminated,0.0,0.0
2,2,1,Tia Carrere,Maksim Chmerkoskiy,5,5.0,6.0,10.0,11.0,0,0.01,1,always_safe,3.0,4.0
2,2,2,George Hamilton,Edyta Sliwinska,5,5.0,6.0,10.0,11.0,0,0.01,1,always_safe,3.0,4.0
2,2,3,Lisa Rinna,Louis van Amstel,7,8.0,8.0,15.0,15.0,0,0.01,1,always_safe,2.0,2.0
2,2,4,Stacy Keibler,Tony Dovolani,1,1.0,1.0,2.0,2.0,0,0.01,1,always_safe,8.0,8.0
2,2,5,Jerry Rice,Anna Trebunskaya,4,4.0,4.0,8.0,8.0,0,0.01,1,always_safe,5.0,5.0
2,2,6,Giselle Fernandez,Jonathan Roberts,3,3.0,3.0,6.0,6.0,0,0.01,1,always_safe,6.0,6.0
2,2,7,Master P,Ashly DelGrosso,9,7.0,7.0,16.0,16.0,0,0.01,1,always_safe,1.0,1.0
2,2,8,Drew Lachey,Cheryl Burke,2,2.0,2.0,4.0,4.0,0,0.01,1,always_safe,7.0,7.0
2,2,0,Tatum O'Neal,Nick Kosovich,8,9.0,9.0,17.0,17.0,1,0.05,1,always_eliminated,0.0,0.0
2,2,1,Tia Carrere,Maksim Chmerkoskiy,5,4.0,6.0,9.0,11.0,0,0.05,1,always_safe,3.0,4.0
2,2,2,George Hamilton,Edyta Sliwinska,5,4.0,6.0,9.0,11.0,0,0.05,1,always_safe,3.0,4.0
2,2,3,Lisa Rinna,Louis van Amstel,7,8.0,8.0,15.0,15.0,0,0.05,1,always_safe,2.0,2.0
2,2,4,Stacy Keibler,Tony Dovolani,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,7.0,8.0
2,2,5,Jerry Rice,Anna Trebunskaya,4,3.0,5.0,7.0,9.0,0,0.05,1,always_safe,3.0,5.0
2,2,6,Giselle Fernandez,Jonathan Roberts,3,2.0,4.0,5.0,7.0,0,0.05,1,always_safe,5.0,6.0
2,2,7,Master P,Ashly DelGrosso,9,7.0,7.0,16.0,16.0,0,0.05,1,always_safe,1.0,1.0
2,2,8,Drew Lachey,Cheryl Burke,2,1.0,3.0,3.0,5.0,0,0.05,1,always_safe,6.0,7.0
2,2,0,Tatum O'Neal,Nick Kosovich,8,9.0,9.0,17.0,17.0,1,0.1,1,always_eliminated,0.0,0.0
2,2,1,Tia Carrere,Maksim Chmerkoskiy,5,3.0,6.0,8.0,11.0,0,0.1,1,always_safe,3.0,5.0
2,2,2,George Hamilton,Edyta Sliwinska,5,4.0,6.0,9.0,11.0,0,0.1,1,always_safe,3.0,5.0
2,2,3,Lisa Rinna,Louis van Amstel,7,7.0,8.0,14.0,15.0,0,0.1,1,always_safe,2.0,2.0
2,2,4,Stacy Keibler,Tony Dovolani,1,1.0,3.0,2.0,4.0,0,0.1,1,always_safe,7.0,8.0
2,2,5,Jerry Rice,Anna Trebunskaya,4,2.0,6.0,6.0,10.0,0,0.1,1,always_safe,3.0,6.0
2,2,6,Giselle Fernandez,Jonathan Roberts,3,2.0,5.0,5.0,8.0,0,0.1,1,always_safe,4.0,6.0
2,2,7,Master P,Ashly DelGrosso,9,7.0,8.0,16.0,17.0,0,0.1,1,uncertain,0.0,1.0
2,2,8,Drew Lachey,Cheryl Burke,2,1.0,3.0,3.0,5.0,0,0.1,1,always_safe,6.0,8.0
2,3,1,Tia Carrere,Maksim Chmerkoskiy,3,3.0,3.0,6.0,6.0,0,0.01,1,always_safe,5.0,5.0
2,3,2,George Hamilton,Edyta Sliwinska,5,7.0,7.0,12.0,12.0,0,0.01,1,always_safe,1.0,1.0
2,3,3,Lisa Rinna,Louis van Amstel,4,6.0,6.0,10.0,10.0,0,0.01,1,always_safe,4.0,4.0
2,3,4,Stacy Keibler,Tony Dovolani,1,1.0,2.0,2.0,3.0,0,0.01,1,always_safe,6.0,7.0
2,3,5,Jerry Rice,Anna Trebunskaya,7,5.0,5.0,12.0,12.0,0,0.01,1,always_safe,1.0,1.0
2,3,6,Giselle Fernandez,Jonathan Roberts,5,8.0,8.0,13.0,13.0,1,0.01,1,always_eliminated,0.0,0.0
2,3,7,Master P,Ashly DelGrosso,8,4.0,4.0,12.0,12.0,0,0.01,1,always_safe,1.0,1.0
2,3,8,Drew Lachey,Cheryl Burke,1,1.0,2.0,2.0,3.0,0,0.01,1,always_safe,6.0,7.0
2,3,1,Tia Carrere,Maksim Chmerkoskiy,3,3.0,3.0,6.0,6.0,0,0.05,1,always_safe,5.0,5.0
2,3,2,George Hamilton,Edyta Sliwinska,5,6.0,7.0,11.0,12.0,0,0.05,1,always_safe,1.0,3.0
2,3,3,Lisa Rinna,Louis van Amstel,4,4.0,7.0,8.0,11.0,0,0.05,1,always_safe,3.0,4.0
2,3,4,Stacy Keibler,Tony Dovolani,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,6.0,7.0
2,3,5,Jerry Rice,Anna Trebunskaya,7,5.0,5.0,12.0,12.0,0,0.05,1,always_safe,1.0,2.0
2,3,6,Giselle Fernandez,Jonathan Roberts,5,8.0,8.0,13.0,13.0,1,0.05,1,uncertain,0.0,1.0
2,3,7,Master P,Ashly DelGrosso,8,4.0,6.0,12.0,14.0,0,0.05,1,uncertain,0.0,1.0
2,3,8,Drew Lachey,Cheryl Burke,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,6.0,7.0
2,3,1,Tia Carrere,Maksim Chmerkoskiy,3,2.0,6.0,5.0,9.0,0,0.1,1,always_safe,4.0,5.0
2,3,2,George Hamilton,Edyta Sliwinska,5,6.0,7.0,11.0,12.0,0,0.1,1,always_safe,1.0,3.0
2,3,3,Lisa Rinna,Louis van Amstel,4,3.0,7.0,7.0,11.0,0,0.1,1,always_safe,3.0,5.0
2,3,4,Stacy Keibler,Tony Dovolani,1,1.0,3.0,2.0,4.0,0,0.1,1,always_safe,6.0,7.0
2,3,5,Jerry Rice,Anna Trebunskaya,7,5.0,6.0,12.0,13.0,0,0.1,1,uncertain,0.0,2.0
2,3,6,Giselle Fernandez,Jonathan Roberts,5,8.0,8.0,13.0,13.0,1,0.1,1,uncertain,0.0,1.0
2,3,7,Master P,Ashly DelGrosso,8,4.0,6.0,12.0,14.0,0,0.1,1,uncertain,0.0,2.0
2,3,8,Drew Lachey,Cheryl Burke,1,1.0,3.0,2.0,4.0,0,0.1,1,always_safe,6.0,7.0
2,4,1,Tia Carrere,Maksim Chmerkoskiy,4,4.0,4.0,8.0,8.0,0,0.01,1,always_safe,3.0,3.0
2,4,2,George Hamilton,Edyta Sliwinska,6,6.0,6.0,12.0,12.0,0,0.01,1,always_safe,1.0,1.0
2,4,3,Lisa Rinna,Louis van Amstel,2,2.0,3.0,4.0,5.0,0,0.01,1,always_safe,4.0,5.0
2,4,4,Stacy Keibler,Tony Dovolani,2,2.0,3.0,4.0,5.0,0,0.01,1,always_safe,4.0,5.0
2,4,5,Jerry Rice,Anna Trebunskaya,5,5.0,5.0,10.0,10.0,0,0.01,1,always_safe,2.0,2.0
2,4,7,Master P,Ashly DelGrosso,7,7.0,7.0,14.0,14.0,1,0.01,1,always_eliminated,0.0,0.0
2,4,8,Drew Lachey,Cheryl Burke,1,1.0,1.0,2.0,2.0,0,0.01,1,always_safe,6.0,6.0
2,4,1,Tia Carrere,Maksim Chmerkoskiy,4,4.0,5.0,8.0,9.0,0,0.05,1,always_safe,2.0,3.0
2,4,2,George Hamilton,Edyta Sliwinska,6,5.0,6.0,11.0,12.0,0,0.05,1,always_safe,1.0,1.0
2,4,3,Lisa Rinna,Louis van Amstel,2,1.0,3.0,3.0,5.0,0,0.05,1,always_safe,4.0,5.0
2,4,4,Stacy Keibler,Tony Dovolani,2,1.0,3.0,3.0,5.0,0,0.05,1,always_safe,4.0,5.0
2,4,5,Jerry Rice,Anna Trebunskaya,5,4.0,6.0,9.0,11.0,0,0.05,1,always_safe,1.0,2.0
2,4,7,Master P,Ashly DelGrosso,7,7.0,7.0,14.0,14.0,1,0.05,1,always_eliminated,0.0,0.0
2,4,8,Drew Lachey,Cheryl Burke,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,4.0,6.0
2,4,1,Tia Carrere,Maksim Chmerkoskiy,4,3.0,6.0,7.0,10.0,0,0.1,1,always_safe,1.0,3.0
2,4,2,George Hamilton,Edyta Sliwinska,6,4.0,6.0,10.0,12.0,0,0.1,1,always_safe,1.0,2.0
2,4,3,Lisa Rinna,Louis van Amstel,2,1.0,4.0,3.0,6.0,0,0.1,1,always_safe,4.0,6.0
2,4,4,Stacy Keibler,Tony Dovolani,2,1.0,4.0,3.0,6.0,0,0.1,1,always_safe,4.0,6.0
2,4,5,Jerry Rice,Anna Trebunskaya,5,4.0,7.0,9.0,12.0,0,0.1,1,always_safe,1.0,3.0
2,4,7,Master P,Ashly DelGrosso,7,6.0,7.0,13.0,14.0,1,0.1,1,always_eliminated,0.0,0.0
2,4,8,Drew Lachey,Cheryl Burke,1,1.0,3.0,2.0,4.0,0,0.1,1,always_safe,4.0,6.0
2,5,1,Tia Carrere,Maksim Chmerkoskiy,6,6.0,6.0,12.0,12.0,1,0.01,1,always_eliminated,0.0,0.0
2,5,2,George Hamilton,Edyta Sliwinska,4,4.0,4.0,8.0,8.0,0,0.01,1,always_safe,2.0,2.0
2,5,3,Lisa Rinna,Louis van Amstel,3,3.0,3.0,6.0,6.0,0,0.01,1,always_safe,3.0,3.0
2,5,4,Stacy Keibler,Tony Dovolani,1,1.0,1.0,2.0,2.0,0,0.01,1,always_safe,5.0,5.0
2,5,5,Jerry Rice,Anna Trebunskaya,5,5.0,5.0,10.0,10.0,0,0.01,1,always_safe,1.0,1.0
2,5,8,Drew Lachey,Cheryl Burke,2,2.0,2.0,4.0,4.0,0,0.01,1,always_safe,4.0,4.0
2,5,1,Tia Carrere,Maksim Chmerkoskiy,6,6.0,6.0,12.0,12.0,1,0.05,1,always_eliminated,0.0,0.0
2,5,2,George Hamilton,Edyta Sliwinska,4,3.0,5.0,7.0,9.0,0,0.05,1,always_safe,1.0,2.0
2,5,3,Lisa Rinna,Louis van Amstel,3,2.0,4.0,5.0,7.0,0,0.05,1,always_safe,2.0,3.0
2,5,4,Stacy Keibler,Tony Dovolani,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,4.0,5.0
2,5,5,Jerry Rice,Anna Trebunskaya,5,4.0,5.0,9.0,10.0,0,0.05,1,always_safe,1.0,1.0
2,5,8,Drew Lachey,Cheryl Burke,2,1.0,3.0,3.0,5.0,0,0.05,1,always_safe,3.0,4.0
2,5,1,Tia Carrere,Maksim Chmerkoskiy,6,5.0,6.0,11.0,12.0,1,0.1,1,always_eliminated,0.0,0.0
2,5,2,George Hamilton,Edyta Sliwinska,4,3.0,6.0,7.0,10.0,0,0.1,1,always_safe,1.0,3.0
2,5,3,Lisa Rinna,Louis van Amstel,3,1.0,5.0,4.0,8.0,0,0.1,1,always_safe,1.0,4.0
2,5,4,Stacy Keibler,Tony Dovolani,1,1.0,3.0,2.0,4.0,0,0.1,1,always_safe,3.0,5.0
2,5,5,Jerry Rice,Anna Trebunskaya,5,3.0,5.0,8.0,10.0,0,0.1,1,always_safe,1.0,2.0
2,5,8,Drew Lachey,Cheryl Burke,2,1.0,3.0,3.0,5.0,0,0.1,1,always_safe,3.0,5.0
2,6,2,George Hamilton,Edyta Sliwinska,4,5.0,5.0,9.0,9.0,1,0.01,1,always_eliminated,0.0,0.0
2,6,3,Lisa Rinna,Louis van Amstel,3,3.0,3.0,6.0,6.0,0,0.01,1,always_safe,2.0,2.0
2,6,4,Stacy Keibler,Tony Dovolani,1,1.0,2.0,2.0,3.0,0,0.01,1,always_safe,3.0,4.0
2,6,5,Jerry Rice,Anna Trebunskaya,4,4.0,4.0,8.0,8.0,0,0.01,1,always_safe,1.0,1.0
2,6,8,Drew Lachey,Cheryl Burke,1,1.0,2.0,2.0,3.0,0,0.01,1,always_safe,3.0,4.0
2,6,2,George Hamilton,Edyta Sliwinska,4,5.0,5.0,9.0,9.0,1,0.05,1,always_eliminated,0.0,0.0
2,6,3,Lisa Rinna,Louis van Amstel,3,3.0,4.0,6.0,7.0,0,0.05,1,always_safe,1.0,2.0
2,6,4,Stacy Keibler,Tony Dovolani,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,3.0,4.0
2,6,5,Jerry Rice,Anna Trebunskaya,4,3.0,4.0,7.0,8.0,0,0.05,1,always_safe,1.0,1.0
2,6,8,Drew Lachey,Cheryl Burke,1,1.0,2.0,2.0,3.0,0,0.05,1,always_safe,3.0,4.0
2,6,2,George Hamilton,Edyta Sliwinska,4,5.0,5.0,9.0,9.0,1,0.1,1,always_eliminated,0.0,0.0
2,6,3,Lisa Rinna,Louis van Amstel,3,2.0,4.0,5.0,7.0,0,0.1,1,always_safe,1.0,2.0
2,6,4,Stacy Keibler,Tony Dovolani,1,1.0,3.0,2.0,4.0,0,0.1,1,always_safe,3.0,4.0
2,6,5,Jerry Rice,Anna Trebunskaya,4,3.0,4.0,7.0,8.0,0,0.1,1,always_safe,1.0,1.0
2,6,8,Drew Lachey,Cheryl Burke,1,1.0,3.0,2.0,4.0,0,0.1,1,always_safe,3.0,4.0
2,7,3,Lisa Rinna,Louis van Amstel,3,4.0,4.0,7.0,7.0,1,0.01,1,always_eliminated,0.0,0.0
2,7,4,Stacy Keibler,Tony Dovolani,1,1.0,3.0,2.0,4.0,0,0.01,1,always_safe,2.0,3.0
2,7,5,Jerry Rice,Anna Trebunskaya,4,2.0,2.0,6.0,6.0,0,0.01,1,always_safe,1.0,1.0
2,7,8,Drew Lachey,Cheryl Burke,1,1.0,3.0,2.0,4.0,0,0.01,1,always_safe,2.0,3.0
2,7,3,Lisa Rinna,Louis van Amstel,3,4.0,4.0,7.0,7.0,1,0.05,1,always_eliminated,0.0,0.0
2,7,4,Stacy Keibler,Tony Dovolani,1,1.0,3.0,2.0,4.0,0,0.05,1,always_safe,2.0,3.0
