season,week,n_contestants,n_eliminated,percent_eliminated,rank_eliminated,same_result,is_final,actual_ranking,percent_ranking,rank_method_ranking,percent_exact_match,rank_exact_match,percent_top1_correct,rank_top1_correct
23,2,13,1,Jake T. Austin,Rick Perry,False,False,,,,,,,
23,3,12,1,Rick Perry,Rick Perry,True,False,,,,,,,
23,4,11,2,"Babyface,Vanilla Ice","Babyface,Ryan Lochte",False,False,,,,,,,
23,5,9,0,,,True,False,,,,,,,
23,6,9,1,Amber Rose,Amber Rose,True,False,,,,,,,
23,7,8,1,Maureen McCormick,Maureen McCormick,True,False,,,,,,,
23,8,7,1,Ryan Lochte,Marilu Henner,False,False,,,,,,,
23,9,6,1,Marilu Henner,Marilu Henner,True,False,,,,,,,
23,10,5,1,Terra Jole,Calvin Johnson Jr.,False,False,,,,,,,
23,11,4,0,,,True,True,Laurie Hernandez>James Hinchcliffe>Calvin Johnson Jr.>Jana Kramer,Laurie Hernandez>James Hinchcliffe>Calvin Johnson Jr.>Jana Kramer,Laurie Hernandez>Calvin Johnson Jr.>Jana Kramer>James Hinchcliffe,True,False,True,True
24,1,12,0,,,True,False,,,,,,,
24,2,12,1,Chris Kattan,Chris Kattan,True,False,,,,,,,
24,3,11,1,Charo,Charo,True,False,,,,,,,
24,4,10,1,Mr. T,Mr. T,True,False,,,,,,,
24,5,9,1,Erika Jayne,Erika Jayne,True,False,,,,,,,
24,6,8,1,Heather Morris,Nick Viall,False,False,,,,,,,
24,7,7,2,"Nancy Kerrigan,Nick Viall","Bonner Bolton,Nick Viall",False,False,,,,,,,
24,8,5,1,Bonner Bolton,Bonner Bolton,True,False,,,,,,,
24,9,4,1,Simone Biles,Normani,False,False,,,,,,,
24,10,3,0,,,True,True,Rashad Jennings>David Ross>Normani,Rashad Jennings>David Ross>Normani,Rashad Jennings>David Ross>Normani,True,True,True,True
25,1,13,0,,,True,False,,,,,,,
25,2,13,2,"Barbara Corcoran,Debbie Gibson","Barbara Corcoran,Derek Fisher",False,False,,,,,,,
25,3,11,0,,,True,False,,,,,,,
25,4,11,1,Derek Fisher,Derek Fisher,True,False,,,,,,,
25,5,10,1,Sasha Pieterse,Nick Lachey,False,False,,,,,,,
25,6,9,1,Nick Lachey,Nick Lachey,True,False,,,,,,,
25,7,8,2,"Nikki Bella,Vanessa Lachey","Nikki Bella,Terrell Owens",False,False,,,,,,,
25,8,6,1,Terrell Owens,Victoria Arlen,False,False,,,,,,,
25,9,5,1,Victoria Arlen,Victoria Arlen,True,False,,,,,,,
25,10,4,0,,,True,True,Jordan Fisher>Lindsey Stirling>Frankie Muniz>Drew Scott,Jordan Fisher>Lindsey Stirling>Frankie Muniz>Drew Scott,Jordan Fisher>Frankie Muniz>Lindsey Stirling>Drew Scott,True,False,True,True
26,1,10,2,"Jamie Anderson,Johnny Damon","Jamie Anderson,Johnny Damon",True,False,,,,,,,
26,2,8,2,"Arike Ogunbowale,Kareem Abdul-Jabbar","Arike Ogunbowale,Kareem Abdul-Jabbar",True,False,,,,,,,
26,3,6,3,"Chris Mazdzer,Jennie Finch Daigle,Mirai Nagasu","Chris Mazdzer,Jennie Finch Daigle,Mirai Nagasu",True,False,,,,,,,
26,4,3,0,,,True,True,Adam Rippon>Josh Norman>Tonya Harding,Adam Rippon>Josh Norman>Tonya Harding,Adam Rippon>Josh Norman>Tonya Harding,True,True,True,True
27,1,13,1,Nikki Glaser,Nikki Glaser,True,False,,,,,,,
27,2,12,1,Danelle Umstead,Danelle Umstead,True,False,,,,,,,
27,3,11,1,Nancy McKeon,Nancy McKeon,True,False,,,,,,,
27,4,10,1,Tinashe,Joe Amabile,False,False,,,,,,,
27,5,9,0,,,True,False,,,,,,,
27,6,9,1,Mary Lou Retton,John Schneider,False,False,,,,,,,
27,7,8,2,"DeMarcus Ware,John Schneider","DeMarcus Ware,Joe Amabile",False,False,,,,,,,
27,8,6,2,"Joe Amabile,Juan Pablo Di Pace","Joe Amabile,Milo Manheim",False,False,,,,,,,
27,9,4,0,,,True,True,Bobby Bones>Milo Manheim>Evanna Lynch>Alexis Ren,Bobby Bones>Milo Manheim>Evanna Lynch>Alexis Ren,Milo Manheim>Evanna Lynch>Alexis Ren>Bobby Bones,True,False,True,False
