season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon,k_actual,status,worse_definite,worse_possible
2,4,8,Drew Lachey,Cheryl Burke,1,1,2,2,3,0,0.5,1,always_safe,5.0,6.0
2,5,1,Tia Carrere,Maksim Chmerkoskiy,6,5,7,11,13,1,0.5,1,always_eliminated,0.0,0.0
2,5,2,George Hamilton,Edyta Sliwinska,4,3,5,7,9,0,0.5,1,always_safe,1.0,2.0
2,5,3,Lisa Rinna,Louis van Amstel,3,2,4,5,7,0,0.5,1,always_safe,2.0,3.0
2,5,4,Stacy Keibler,Tony Dovolani,1,1,2,2,3,0,0.5,1,always_safe,4.0,5.0
2,5,5,Jerry Rice,Anna Trebunskaya,5,4,6,9,11,0,0.5,1,uncertain,0.0,1.0
2,5,8,Drew Lachey,Cheryl Burke,2,1,3,3,5,0,0.5,1,always_safe,3.0,4.0
2,6,2,George Hamilton,Edyta Sliwinska,4,4,6,8,10,1,0.5,1,uncertain,0.0,1.0
2,6,3,Lisa Rinna,Louis van Amstel,3,2,4,5,7,0,0.5,1,always_safe,1.0,2.0
2,6,4,Stacy Keibler,Tony Dovolani,1,1,2,2,3,0,0.5,1,always_safe,3.0,4.0
2,6,5,Jerry Rice,Anna Trebunskaya,4,3,5,7,9,0,0.5,1,uncertain,0.0,1.0
2,6,8,Drew Lachey,Cheryl Burke,1,1,3,2,4,0,0.5,1,always_safe,3.0,4.0
2,7,3,Lisa Rinna,Louis van Amstel,3,3,5,6,8,1,0.5,1,uncertain,0.0,1.0
2,7,4,Stacy Keibler,Tony Dovolani,1,1,2,2,3,0,0.5,1,always_safe,2.0,3.0
2,7,5,Jerry Rice,Anna Trebunskaya,4,2,4,6,8,0,0.5,1,uncertain,0.0,1.0
2,7,8,Drew Lachey,Cheryl Burke,1,1,3,2,4,0,0.5,1,always_safe,2.0,3.0
2,8,4,Stacy Keibler,Tony Dovolani,2,1,3,3,5,0,0.5,0,no_elimination,,
2,8,5,Jerry Rice,Anna Trebunskaya,3,2,4,5,7,0,0.5,0,no_elimination,,
2,8,8,Drew Lachey,Cheryl Burke,1,1,2,2,3,0,0.5,0,no_elimination,,
28,1,0,Kate Flannery,Pasha Pashkov,9,8,10,17,19,0,0.5,0,no_elimination,,
28,1,1,James Van Der Beek,Emma Slater,1,1,2,2,3,0,0.5,0,no_elimination,,
28,1,2,Kel Mitchell,Witney Carson,7,7,9,14,16,0,0.5,0,no_elimination,,
28,1,3,Ray Lewis,Cheryl Burke,9,9,11,18,20,0,0.5,0,no_elimination,,
28,1,4,Lamar Odom,Peta Murgatroyd,12,11,13,23,25,0,0.5,0,no_elimination,,
28,1,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,4,3,5,7,9,0,0.5,0,no_elimination,,
28,1,6,Sean Spicer,Lindsay Arnold,11,10,12,21,23,0,0.5,0,no_elimination,,
28,1,7,Mary Wilson,Brandon Armstrong,5,5,7,10,12,0,0.5,0,no_elimination,,
28,1,8,Lauren Alaina,Gleb Savchenko,3,2,4,5,7,0,0.5,0,no_elimination,,
28,1,9,Ally Brooke,Sasha Farber,7,6,8,13,15,0,0.5,0,no_elimination,,
28,1,10,Karamo Brown,Jenna Johnson,5,4,6,9,11,0,0.5,0,no_elimination,,
28,1,11,Hannah Brown,Alan Bersten,2,1,3,3,5,0,0.5,0,no_elimination,,
28,2,0,Kate Flannery,Pasha Pashkov,2,1,3,3,5,0,0.5,1,always_safe,9.0,10.0
28,2,1,James Van Der Beek,Emma Slater,3,2,4,5,7,0,0.5,1,always_safe,7.0,9.0
28,2,2,Kel Mitchell,Witney Carson,3,4,6,7,9,0,0.5,1,always_safe,7.0,8.0
28,2,3,Ray Lewis,Cheryl Burke,10,9,11,19,21,0,0.5,1,always_safe,1.0,2.0
28,2,4,Lamar Odom,Peta Murgatroyd,12,10,12,22,24,0,0.5,1,uncertain,0.0,1.0
28,2,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,8,7,9,15,17,0,0.5,1,always_safe,3.0,4.0
28,2,6,Sean Spicer,Lindsay Arnold,9,8,10,17,19,0,0.5,1,always_safe,2.0,3.0
28,2,7,Mary Wilson,Brandon Armstrong,10,11,13,21,23,1,0.5,1,uncertain,0.0,1.0
28,2,8,Lauren Alaina,Gleb Savchenko,6,5,7,11,13,0,0.5,1,always_safe,5.0,6.0
28,2,9,Ally Brooke,Sasha Farber,3,3,5,6,8,0,0.5,1,always_safe,7.0,9.0
28,2,10,Karamo Brown,Jenna Johnson,6,6,8,12,14,0,0.5,1,always_safe,5.0,6.0
28,2,11,Hannah Brown,Alan Bersten,1,1,2,2,3,0,0.5,1,always_safe,10.0,11.0
28,3,0,Kate Flannery,Pasha Pashkov,1,1,3,2,4,0,0.5,0,no_elimination,,
28,3,1,James Van Der Beek,Emma Slater,3,2,4,5,7,0,0.5,0,no_elimination,,
28,3,2,Kel Mitchell,Witney Carson,6,5,7,11,13,0,0.5,0,no_elimination,,
28,3,4,Lamar Odom,Peta Murgatroyd,10,9,11,19,21,0,0.5,0,no_elimination,,
28,3,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,3,3,5,6,8,0,0.5,0,no_elimination,,
28,3,6,Sean Spicer,Lindsay Arnold,9,8,10,17,19,0,0.5,0,no_elimination,,
28,3,8,Lauren Alaina,Gleb Savchenko,6,6,8,12,14,0,0.5,0,no_elimination,,
28,3,9,Ally Brooke,Sasha Farber,1,1,2,2,3,0,0.5,0,no_elimination,,
28,3,10,Karamo Brown,Jenna Johnson,8,7,9,15,17,0,0.5,0,no_elimination,,
28,3,11,Hannah Brown,Alan Bersten,5,4,6,9,11,0,0.5,0,no_elimination,,
28,4,0,Kate Flannery,Pasha Pashkov,8,7,9,15,17,0,0.5,1,always_safe,1.0,2.0
28,4,1,James Van Der Beek,Emma Slater,6,5,7,11,13,0,0.5,1,always_safe,3.0,4.0
28,4,2,Kel Mitchell,Witney Carson,1,1,3,2,4,0,0.5,1,always_safe,6.0,9.0
28,4,4,Lamar Odom,Peta Murgatroyd,10,9,11,19,21,1,0.5,1,always_eliminated,0.0,0.0
28,4,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,5,4,6,9,11,0,0.5,1,always_safe,4.0,5.0
28,4,6,Sean Spicer,Lindsay Arnold,9,8,10,17,19,0,0.5,1,uncertain,0.0,1.0
28,4,8,Lauren Alaina,Gleb Savchenko,1,3,5,4,6,0,0.5,1,always_safe,6.0,7.0
28,4,9,Ally Brooke,Sasha Farber,1,1,2,2,3,0,0.5,1,always_safe,7.0,9.0
28,4,10,Karamo Brown,Jenna Johnson,6,6,8,12,14,0,0.5,1,always_safe,3.0,4.0
28,4,11,Hannah Brown,Alan Bersten,1,2,4,3,5,0,0.5,1,always_safe,6.0,8.0
28,5,0,Kate Flannery,Pasha Pashkov,5,4,6,9,11,0,0.5,0,no_elimination,,
28,5,1,James Van Der Beek,Emma Slater,2,2,4,4,6,0,0.5,0,no_elimination,,
28,5,2,Kel Mitchell,Witney Carson,2,1,3,3,5,0,0.5,0,no_elimination,,
28,5,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,5,5,7,10,12,0,0.5,0,no_elimination,,
28,5,6,Sean Spicer,Lindsay Arnold,9,8,10,17,19,0,0.5,0,no_elimination,,
28,5,8,Lauren Alaina,Gleb Savchenko,7,6,8,13,15,0,0.5,0,no_elimination,,
28,5,9,Ally Brooke,Sasha Farber,1,1,2,2,3,0,0.5,0,no_elimination,,
28,5,10,Karamo Brown,Jenna Johnson,8,7,9,15,17,0,0.5,0,no_elimination,,
28,5,11,Hannah Brown,Alan Bersten,4,3,5,7,9,0,0.5,0,no_elimination,,
28,6,0,Kate Flannery,Pasha Pashkov,1,1,3,2,4,0,0.5,1,always_safe,7.0,8.0
28,6,1,James Van Der Beek,Emma Slater,1,1,2,2,3,0,0.5,1,always_safe,7.0,8.0
28,6,2,Kel Mitchell,Witney Carson,4,2,4,6,8,0,0.5,1,always_safe,4.0,6.0
28,6,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,1,5,7,6,8,1,0.5,1,always_safe,4.0,6.0
28,6,6,Sean Spicer,Lindsay Arnold,9,8,10,17,19,0,0.5,1,always_eliminated,0.0,0.0
28,6,8,Lauren Alaina,Gleb Savchenko,4,3,5,7,9,0,0.5,1,always_safe,4.0,6.0
28,6,9,Ally Brooke,Sasha Farber,6,4,6,10,12,0,0.5,1,always_safe,2.0,3.0
28,6,10,Karamo Brown,Jenna Johnson,6,6,8,12,14,0,0.5,1,always_safe,2.0,2.0
28,6,11,Hannah Brown,Alan Bersten,8,7,9,15,17,0,0.5,1,uncertain,0.0,1.0
28,7,0,Kate Flannery,Pasha Pashkov,7,5,7,12,14,0,0.5,1,uncertain,0.0,2.0
28,7,1,James Van Der Beek,Emma Slater,1,1,2,2,3,0,0.5,1,always_safe,5.0,7.0
28,7,2,Kel Mitchell,Witney Carson,5,4,6,9,11,0,0.5,1,always_safe,3.0,3.0
28,7,6,Sean Spicer,Lindsay Arnold,8,6,8,14,16,0,0.5,1,uncertain,0.0,1.0
28,7,8,Lauren Alaina,Gleb Savchenko,1,2,4,3,5,0,0.5,1,always_safe,5.0,6.0
28,7,9,Ally Brooke,Sasha Farber,1,1,3,2,4,0,0.5,1,always_safe,5.0,7.0
28,7,10,Karamo Brown,Jenna Johnson,6,7,9,13,15,1,0.5,1,uncertain,0.0,2.0
28,7,11,Hannah Brown,Alan Bersten,4,3,5,7,9,0,0.5,1,always_safe,3.0,4.0
28,8,0,Kate Flannery,Pasha Pashkov,5,6,8,11,13,1,0.5,1,uncertain,0.0,2.0
28,8,1,James Van Der Beek,Emma Slater,1,1,2,2,3,0,0.5,1,always_safe,5.0,6.0
28,8,2,Kel Mitchell,Witney Carson,4,3,5,7,9,0,0.5,1,always_safe,3.0,3.0
28,8,6,Sean Spicer,Lindsay Arnold,7,5,7,12,14,0,0.5,1,uncertain,0.0,1.0
28,8,8,Lauren Alaina,Gleb Savchenko,6,4,6,10,12,0,0.5,1,uncertain,0.0,2.0
28,8,9,Ally Brooke,Sasha Farber,3,2,4,5,7,0,0.5,1,always_safe,3.0,4.0
28,8,11,Hannah Brown,Alan Bersten,2,1,3,3,5,0,0.5,1,always_safe,4.0,5.0
28,9,1,James Van Der Beek,Emma Slater,3,2,4,5,7,0,0.5,1,always_safe,2.0,3.0
28,9,2,Kel Mitchell,Witney Carson,2,1,3,3,5,0,0.5,1,always_safe,3.0,4.0
28,9,6,Sean Spicer,Lindsay Arnold,6,5,7,11,13,1,0.5,1,always_eliminated,0.0,0.0
28,9,8,Lauren Alaina,Gleb Savchenko,5,4,6,9,11,0,0.5,1,uncertain,0.0,1.0
28,9,9,Ally Brooke,Sasha Farber,1,1,2,2,3,0,0.5,1,always_safe,4.0,5.0
28,9,11,Hannah Brown,Alan Bersten,4,3,5,7,9,0,0.5,1,always_safe,1.0,2.0
28,10,1,James Van Der Beek,Emma Slater,5,4,6,9,11,1,0.5,1,always_eliminated,0.0,0.0
28,10,2,Kel Mitchell,Witney Carson,2,1,3,3,5,0,0.5,1,always_safe,2.0,3.0
28,10,8,Lauren Alaina,Gleb Savchenko,3,3,5,6,8,0,0.5,1,always_safe,1.0,2.0
28,10,9,Ally Brooke,Sasha Farber,1,1,2,2,3,0,0.5,1,always_safe,3.0,4.0
28,10,11,Hannah Brown,Alan Bersten,3,2,4,5,7,0,0.5,1,always_safe,1.0,2.0
28,11,2,Kel Mitchell,Witney Carson,2,1,3,3,5,0,0.5,0,no_elimination,,
28,11,8,Lauren Alaina,Gleb Savchenko,4,3,5,7,9,0,0.5,0,no_elimination,,
28,11,9,Ally Brooke,Sasha Farber,1,1,2,2,3,0,0.5,0,no_elimination,,
28,11,11,Hannah Brown,Alan Bersten,3,2,4,5,7,0,0.5,0,no_elimination,,
29,1,0,Anne Heche,Keo Motsepe,6,9,11,15,17,0,0.15,0,no_elimination,,
29,1,1,Jesse Metcalfe,Sharna Burgess,6,5,7,11,13,0,0.15,0,no_elimination,,
29,1,2,Chrishell Stause,Gleb Savchenko,13,12,14,25,27,0,0.15,0,no_elimination,,
29,1,3,Skai Jackson,Alan Bersten,1,1,3,2,4,0,0.15,0,no_elimination,,
29,1,4,Justina Machado,Sasha Farber,1,1,2,2,3,0,0.15,0,no_elimination,,
29,1,5,Charles Oakley,Emma Slater,14,13,15,27,29,0,0.15,0,no_elimination,,
29,1,6,Veron Davis,Peta Murgatroyd,11,10,12,21,23,0,0.15,0,no_elimination,,
29,1,7,Johnny Weir,Britt Stewart,6,7,9,13,15,0,0.15,0,no_elimination,,
29,1,8,Nev Schulman,Jenna Johnson,3,3,5,6,8,0,0.15,0,no_elimination,,
29,1,9,AJ McLean,Cheryl Burke,6,6,8,12,14,0,0.15,0,no_elimination,,
29,1,10,Nelly,Daniella Karagach,12,11,13,23,25,0,0.15,0,no_elimination,,
29,1,11,Kaitlyn Bristowe,Artem Chigvintsev,3,2,4,5,7,0,0.15,0,no_elimination,,
29,1,12,Carole Baskin,Pasha Pashkov,15,14,16,29,31,0,0.15,0,no_elimination,,
29,1,13,Monica Aldama,Valentin Chmerkovskiy,5,4,6,9,11,0,0.15,0,no_elimination,,
29,1,14,Jeannie Mai,Brandon Armstrong,6,8,10,14,16,0,0.15,0,no_elimination,,
29,1,0,Anne Heche,Keo Motsepe,6,9,11,15,17,0,0.2,0,no_elimination,,
29,1,1,Jesse Metcalfe,Sharna Burgess,6,5,7,11,13,0,0.2,0,no_elimination,,
29,1,2,Chrishell Stause,Gleb Savchenko,13,12,14,25,27,0,0.2,0,no_elimination,,
29,1,3,Skai Jackson,Alan Bersten,1,1,3,2,4,0,0.2,0,no_elimination,,
29,1,4,Justina Machado,Sasha Farber,1,1,2,2,3,0,0.2,0,no_elimination,,
29,1,5,Charles Oakley,Emma Slater,14,13,15,27,29,0,0.2,0,no_elimination,,
29,1,6,Veron Davis,Peta Murgatroyd,11,10,12,21,23,0,0.2,0,no_elimination,,
29,1,7,Johnny Weir,Britt Stewart,6,7,9,13,15,0,0.2,0,no_elimination,,
29,1,8,Nev Schulman,Jenna Johnson,3,3,5,6,8,0,0.2,0,no_elimination,,
29,1,9,AJ McLean,Cheryl Burke,6,6,8,12,14,0,0.2,0,no_elimination,,
29,1,10,Nelly,Daniella Karagach,12,11,13,23,25,0,0.2,0,no_elimination,,
29,1,11,Kaitlyn Bristowe,Artem Chigvintsev,3,2,4,5,7,0,0.2,0,no_elimination,,
29,1,12,Carole Baskin,Pasha Pashkov,15,14,16,29,31,0,0.2,0,no_elimination,,
29,1,13,Monica Aldama,Valentin Chmerkovskiy,5,4,6,9,11,0,0.2,0,no_elimination,,
29,1,14,Jeannie Mai,Brandon Armstrong,6,8,10,14,16,0,0.2,0,no_elimination,,
29,1,0,Anne Heche,Keo Motsepe,6,9,11,15,17,0,0.3,0,no_elimination,,
29,1,1,Jesse Metcalfe,Sharna Burgess,6,5,7,11,13,0,0.3,0,no_elimination,,
29,1,2,Chrishell Stause,Gleb Savchenko,13,12,14,25,27,0,0.3,0,no_elimination,,
29,1,3,Skai Jackson,Alan Bersten,1,1,3,2,4,0,0.3,0,no_elimination,,
29,1,4,Justina Machado,Sasha Farber,1,1,2,2,3,0,0.3,0,no_elimination,,
29,1,5,Charles Oakley,Emma Slater,14,13,15,27,29,0,0.3,0,no_elimination,,
29,1,6,Veron Davis,Peta Murgatroyd,11,10,12,21,23,0,0.3,0,no_elimination,,
29,1,7,Johnny Weir,Britt Stewart,6,7,9,13,15,0,0.3,0,no_elimination,,
29,1,8,Nev Schulman,Jenna Johnson,3,3,5,6,8,0,0.3,0,no_elimination,,
29,1,9,AJ McLean,Cheryl Burke,6,6,8,12,14,0,0.3,0,no_elimination,,
29,1,10,Nelly,Daniella Karagach,12,11,13,23,25,0,0.3,0,no_elimination,,
29,1,11,Kaitlyn Bristowe,Artem Chigvintsev,3,2,4,5,7,0,0.3,0,no_elimination,,
29,1,12,Carole Baskin,Pasha Pashkov,15,14,16,29,31,0,0.3,0,no_elimination,,
29,1,13,Monica Aldama,Valentin Chmerkovskiy,5,4,6,9,11,0,0.3,0,no_elimination,,
29,1,14,Jeannie Mai,Brandon Armstrong,6,8,10,14,16,0,0.3,0,no_elimination,,
29,1,0,Anne Heche,Keo Motsepe,6,9,11,15,17,0,0.5,0,no_elimination,,
29,1,1,Jesse Metcalfe,Sharna Burgess,6,5,7,11,13,0,0.5,0,no_elimination,,
29,1,2,Chrishell Stause,Gleb Savchenko,13,12,14,25,27,0,0.5,0,no_elimination,,
29,1,3,Skai Jackson,Alan Bersten,1,1,3,2,4,0,0.5,0,no_elimination,,
29,1,4,Justina Machado,Sasha Farber,1,1,2,2,3,0,0.5,0,no_elimination,,
29,1,5,Charles Oakley,Emma Slater,14,13,15,27,29,0,0.5,0,no_elimination,,
29,1,6,Veron Davis,Peta Murgatroyd,11,10,12,21,23,0,0.5,0,no_elimination,,
29,1,7,Johnny Weir,Britt Stewart,6,7,9,13,15,0,0.5,0,no_elimination,,
29,1,8,Nev Schulman,Jenna Johnson,3,3,5,6,8,0,0.5,0,no_elimination,,
29,1,9,AJ McLean,Cheryl Burke,6,6,8,12,14,0,0.5,0,no_elimination,,
29,1,10,Nelly,Daniella Karagach,12,11,13,23,25,0,0.5,0,no_elimination,,
29,1,11,Kaitlyn Bristowe,Artem Chigvintsev,3,2,4,5,7,0,0.5,0,no_elimination,,
29,1,12,Carole Baskin,Pasha Pashkov,15,14,16,29,31,0,0.5,0,no_elimination,,
29,1,13,Monica Aldama,Valentin Chmerkovskiy,5,4,6,9,11,0,0.5,0,no_elimination,,
29,1,14,Jeannie Mai,Brandon Armstrong,6,8,10,14,16,0,0.5,0,no_elimination,,
29,2,0,Anne Heche,Keo Motsepe,6,9,11,15,17,0,0.15,1,always_safe,4.0,6.0
29,2,1,Jesse Metcalfe,Sharna Burgess,4,3,5,7,9,0,0.15,1,always_safe,10.0,11.0
29,2,2,Chrishell Stause,Gleb Savchenko,6,8,10,14,16,0,0.15,1,always_safe,4.0,7.0
29,2,3,Skai Jackson,Alan Bersten,14,13,15,27,29,0,0.15,1,uncertain,0.0,1.0
29,2,4,Justina Machado,Sasha Farber,2,2,4,4,6,0,0.15,1,always_safe,12.0,13.0
29,2,5,Charles Oakley,Emma Slater,14,14,16,28,30,1,0.15,1,uncertain,0.0,1.0
29,2,6,Veron Davis,Peta Murgatroyd,6,7,9,13,15,0,0.15,1,always_safe,5.0,8.0
29,2,7,Johnny Weir,Britt Stewart,6,5,7,11,13,0,0.15,1,always_safe,7.0,9.0
29,2,8,Nev Schulman,Jenna Johnson,2,1,3,3,5,0,0.15,1,always_safe,12.0,13.0
29,2,9,AJ McLean,Cheryl Burke,5,4,6,9,11,0,0.15,1,always_safe,9.0,10.0
29,2,10,Nelly,Daniella Karagach,6,10,12,16,18,0,0.15,1,always_safe,4.0,5.0
29,2,11,Kaitlyn Bristowe,Artem Chigvintsev,1,1,2,2,3,0,0.15,1,always_safe,13.0,14.0
29,2,12,Carole Baskin,Pasha Pashkov,12,12,14,24,26,0,0.15,1,always_safe,2.0,3.0
29,2,13,Monica Aldama,Valentin Chmerkovskiy,12,11,13,23,25,0,0.15,1,always_safe,2.0,3.0
29,2,14,Jeannie Mai,Brandon Armstrong,6,6,8,12,14,0,0.15,1,always_safe,6.0,9.0
29,2,0,Anne Heche,Keo Motsepe,6,9,11,15,17,0,0.2,1,always_safe,4.0,6.0
29,2,1,Jesse Metcalfe,Sharna Burgess,4,3,5,7,9,0,0.2,1,always_safe,10.0,11.0
29,2,2,Chrishell Stause,Gleb Savchenko,6,8,10,14,16,0,0.2,1,always_safe,4.0,7.0
29,2,3,Skai Jackson,Alan Bersten,14,13,15,27,29,0,0.2,1,uncertain,0.0,1.0
29,2,4,Justina Machado,Sasha Farber,2,2,4,4,6,0,0.2,1,always_safe,12.0,13.0
29,2,5,Charles Oakley,Emma Slater,14,14,16,28,30,1,0.2,1,uncertain,0.0,1.0
29,2,6,Veron Davis,Peta Murgatroyd,6,7,9,13,15,0,0.2,1,always_safe,5.0,8.0
29,2,7,Johnny Weir,Britt Stewart,6,5,7,11,13,0,0.2,1,always_safe,7.0,9.0
29,2,8,Nev Schulman,Jenna Johnson,2,1,3,3,5,0,0.2,1,always_safe,12.0,13.0
29,2,9,AJ McLean,Cheryl Burke,5,4,6,9,11,0,0.2,1,always_safe,9.0,10.0
29,2,10,Nelly,Daniella Karagach,6,10,12,16,18,0,0.2,1,always_safe,4.0,5.0
29,2,11,Kaitlyn Bristowe,Artem Chigvintsev,1,1,2,2,3,0,0.2,1,always_safe,13.0,14.0
29,2,12,Carole Baskin,Pasha Pashkov,12,12,14,24,26,0,0.2,1,always_safe,2.0,3.0
29,2,13,Monica Aldama,Valentin Chmerkovskiy,12,11,13,23,25,0,0.2,1,always_safe,2.0,3.0
29,2,14,Jeannie Mai,Brandon Armstrong,6,6,8,12,14,0,0.2,1,always_safe,6.0,9.0
