赛季,周数,人名,伴侣名,地区,国家,年龄,行业,最终名次,比赛结果,评委评分百分比,粉丝投票百分比,总百分比
2,2,Tia Carrere,Maksim Chmerkoskiy,Hawaii,United States,39,Actor/Actress,6,Eliminated Week 5,0.11,0.0897609307648895,0.1997609307648895
2,3,Drew Lachey,Cheryl Burke,Ohio,United States,29,Singer/Rapper,1,1st Place,0.1484,0.1775639994032074,0.3259639994032074
2,3,George Hamilton,Edyta Sliwinska,Tennessee,United States,66,Actor/Actress,5,Eliminated Week 6,0.1209,0.0734485217320416,0.1943485217320416
2,3,Giselle Fernandez,Jonathan Roberts,others,Mexico,44,News Anchor,8,Eliminated Week 3,0.1209,0.0660610982026874,0.1869610982026874
2,3,Jerry Rice,Anna Trebunskaya,Mississippi,United States,43,Athlete,2,2nd Place,0.1044,0.0951541912310839,0.1995541912310839
2,3,Lisa Rinna,Louis van Amstel,California,United States,42,Actor/Actress,4,Eliminated Week 7,0.1374,0.0828277400133494,0.2202277400133493
2,3,Master P,Ashly DelGrosso,Louisiana,United States,35,Singer/Rapper,7,Eliminated Week 4,0.0769,0.1121220536380376,0.1890220536380376
2,3,Stacy Keibler,Tony Dovolani,Maryland,United States,26,Athlete,3,3rd Place,0.1484,0.255762607868386,0.404162607868386
2,3,Tia Carrere,Maksim Chmerkoskiy,Hawaii,United States,39,Actor/Actress,6,Eliminated Week 5,0.1429,0.1370597879112061,0.2799597879112061
2,4,Drew Lachey,Cheryl Burke,Ohio,United States,29,Singer/Rapper,1,1st Place,0.1772,0.2738536829081489,0.4510536829081488
2,4,George Hamilton,Edyta Sliwinska,Tennessee,United States,66,Actor/Actress,5,Eliminated Week 6,0.1329,0.0886864653072617,0.2215864653072616
2,4,Jerry Rice,Anna Trebunskaya,Mississippi,United States,43,Athlete,2,2nd Place,0.1519,0.1018848139294392,0.2537848139294392
2,4,Lisa Rinna,Louis van Amstel,California,United States,42,Actor/Actress,4,Eliminated Week 7,0.1646,0.1467545549793914,0.3113545549793914
2,4,Master P,Ashly DelGrosso,Louisiana,United States,35,Singer/Rapper,7,Eliminated Week 4,0.0506,0.0786438187666175,0.1292438187666175
2,4,Stacy Keibler,Tony Dovolani,Maryland,United States,26,Athlete,3,3rd Place,0.1646,0.1901237854655112,0.3547237854655112
2,4,Tia Carrere,Maksim Chmerkoskiy,Hawaii,United States,39,Actor/Actress,6,Eliminated Week 5,0.1582,0.1200528786436298,0.2782528786436298
2,5,Drew Lachey,Cheryl Burke,Ohio,United States,29,Singer/Rapper,1,1st Place,0.1788,0.2063521028436583,0.3851521028436583
2,5,George Hamilton,Edyta Sliwinska,Tennessee,United States,66,Actor/Actress,5,Eliminated Week 6,0.1589,0.1303001825883664,0.2892001825883664
2,5,Jerry Rice,Anna Trebunskaya,Mississippi,United States,43,Athlete,2,2nd Place,0.1523,0.1105813538831965,0.2628813538831965
2,5,Lisa Rinna,Louis van Amstel,California,United States,42,Actor/Actress,4,Eliminated Week 7,0.1656,0.1592810228753629,0.3248810228753629
2,5,Stacy Keibler,Tony Dovolani,Maryland,United States,26,Athlete,3,3rd Place,0.1987,0.297228898536885,0.495928898536885
2,5,Tia Carrere,Maksim Chmerkoskiy,Hawaii,United States,39,Actor/Actress,6,Eliminated Week 5,0.1457,0.0962564392725305,0.2419564392725305
2,6,Drew Lachey,Cheryl Burke,Ohio,United States,29,Singer/Rapper,1,1st Place,0.2256,0.3288863251181899,0.5544863251181898
2,6,George Hamilton,Edyta Sliwinska,Tennessee,United States,66,Actor/Actress,5,Eliminated Week 6,0.1729,0.1223592163624202,0.2952592163624202
2,6,Jerry Rice,Anna Trebunskaya,Mississippi,United States,43,Athlete,2,2nd Place,0.1729,0.1441782694235533,0.3170782694235533
2,6,Lisa Rinna,Louis van Amstel,California,United States,42,Actor/Actress,4,Eliminated Week 7,0.203,0.1762458177263797,0.3792458177263797
2,6,Stacy Keibler,Tony Dovolani,Maryland,United States,26,Athlete,3,3rd Place,0.2256,0.2283303713694568,0.4539303713694568
2,7,Drew Lachey,Cheryl Burke,Ohio,United States,29,Singer/Rapper,1,1st Place,0.2696,0.3747391088128863,0.6443391088128863
2,7,Jerry Rice,Anna Trebunskaya,Mississippi,United States,43,Athlete,2,2nd Place,0.201,0.2601638114663384,0.4611638114663384
2,7,Lisa Rinna,Louis van Amstel,California,United States,42,Actor/Actress,4,Eliminated Week 7,0.2598,0.1642793636206991,0.4240793636206991
2,7,Stacy Keibler,Tony Dovolani,Maryland,United States,26,Athlete,3,3rd Place,0.2696,0.2008177161000759,0.4704177161000759
2,8,Drew Lachey,Cheryl Burke,Ohio,United States,29,Singer/Rapper,1,1st Place,0.3439,0.448402363780816,0.792302363780816
2,8,Jerry Rice,Anna Trebunskaya,Mississippi,United States,43,Athlete,2,2nd Place,0.3162,0.311304759199772,0.627504759199772
2,8,Stacy Keibler,Tony Dovolani,Maryland,United States,26,Athlete,3,3rd Place,0.3399,0.2402928770194119,0.5801928770194119
3,1,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.1132,0.2742229320860858,0.3874229320860858
3,1,Harry Hamlin,Ashly DelGrosso,California,United States,54,Actor/Actress,9,Eliminated Week 3,0.0802,0.0432719600998346,0.1234719600998345
3,1,Jerry Springer,Kym Johnson,others,England,62,TV Personality,5,Eliminated Week 7,0.0755,0.0645184916851632,0.1400184916851632
3,1,Joey Lawrence,Edyta Sliwinska,Pennsylvania,United States,30,Actor/Actress,3,Eliminated Week 9,0.0991,0.0695407885342,0.1686407885342
3,1,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.1226,0.2742237812647911,0.396823781264791
3,1,Monique Coleman,Louis van Amstel,South Carolina,United States,25,Actor/Actress,4,Eliminated Week 8,0.0896,0.0671205905160805,0.1567205905160805
3,1,Sara Evans,Tony Dovolani,Missouri,United States,35,Singer/Rapper,6,Withdrew,0.0708,0.0545586160952279,0.1253586160952279
3,1,Shanna Moakler,Jesse DeSoto,Rhode Island,United States,31,Model,10,Eliminated Week 2,0.0849,0.0392012438678472,0.1241012438678472
3,1,Tucker Carlson,Elena Grinenko,California,United States,37,TV Personality,11,Eliminated Week 1,0.0566,0.0295831732527165,0.0861831732527165
3,1,Vivica A. Fox,Nick Kosovich,Indiana,United States,42,Actor/Actress,8,Eliminated Week 4,0.1038,0.040528896534495,0.144328896534495
3,1,Willa Ford,Maksim Chmerkoskiy,Florida,United States,25,Singer/Rapper,7,Eliminated Week 5,0.1038,0.0432295260635579,0.1470295260635579
3,2,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.1043,0.2816450785926579,0.3859450785926579
3,2,Harry Hamlin,Ashly DelGrosso,California,United States,54,Actor/Actress,9,Eliminated Week 3,0.0913,0.0445395755650544,0.1358395755650544
3,2,Jerry Springer,Kym Johnson,others,England,62,TV Personality,5,Eliminated Week 7,0.0826,0.0671175878517694,0.1497175878517694
3,2,Joey Lawrence,Edyta Sliwinska,Pennsylvania,United States,30,Actor/Actress,3,Eliminated Week 9,0.1261,0.0723898096977315,0.1984898096977315
3,2,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.0913,0.2816459321397667,0.3729459321397667
3,2,Monique Coleman,Louis van Amstel,South Carolina,United States,25,Actor/Actress,4,Eliminated Week 8,0.113,0.0698513759590296,0.1828513759590296
3,2,Sara Evans,Tony Dovolani,Missouri,United States,35,Singer/Rapper,6,Withdrew,0.0913,0.0565988490897975,0.1478988490897975
3,2,Shanna Moakler,Jesse DeSoto,Rhode Island,United States,31,Model,10,Eliminated Week 2,0.0957,0.0401395745650544,0.1358395745650544
3,2,Vivica A. Fox,Nick Kosovich,Indiana,United States,42,Actor/Actress,8,Eliminated Week 4,0.1043,0.0415784494029877,0.1458784494029877
3,2,Willa Ford,Maksim Chmerkoskiy,Florida,United States,25,Singer/Rapper,7,Eliminated Week 5,0.1,0.0444937671361505,0.1444937671361505
3,3,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.0918,0.2945706786203069,0.3863706786203069
3,3,Harry Hamlin,Ashly DelGrosso,California,United States,54,Actor/Actress,9,Eliminated Week 3,0.1063,0.045110270083849,0.151410270083849
3,3,Jerry Springer,Kym Johnson,others,England,62,TV Personality,5,Eliminated Week 7,0.1014,0.0704387888734152,0.1718387888734152
3,3,Joey Lawrence,Edyta Sliwinska,Pennsylvania,United States,30,Actor/Actress,3,Eliminated Week 9,0.1063,0.0762134462905245,0.1825134462905245
3,3,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.1063,0.2945713051650461,0.4008713051650461
3,3,Monique Coleman,Louis van Amstel,South Carolina,United States,25,Actor/Actress,4,Eliminated Week 8,0.1304,0.0734379638910396,0.2038379638910396
3,3,Sara Evans,Tony Dovolani,Missouri,United States,35,Singer/Rapper,6,Withdrew,0.1208,0.0587937052978025,0.1795937052978025
3,3,Vivica A. Fox,Nick Kosovich,Indiana,United States,42,Actor/Actress,8,Eliminated Week 4,0.1304,0.0417535706941674,0.1721535706941674
3,3,Willa Ford,Maksim Chmerkoskiy,Florida,United States,25,Singer/Rapper,7,Eliminated Week 5,0.1063,0.0451102710838486,0.1514102710838486
3,4,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.1212,0.312304218289066,0.433504218289066
3,4,Jerry Springer,Kym Johnson,others,England,62,TV Personality,5,Eliminated Week 7,0.1111,0.0737988672450681,0.1848988672450681
3,4,Joey Lawrence,Edyta Sliwinska,Pennsylvania,United States,30,Actor/Actress,3,Eliminated Week 9,0.1364,0.0803385332282243,0.2167385332282242
3,4,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.1465,0.3123045709293191,0.4588045709293191
3,4,Monique Coleman,Louis van Amstel,South Carolina,United States,25,Actor/Actress,4,Eliminated Week 8,0.1212,0.0772019755524867,0.1984019755524867
3,4,Sara Evans,Tony Dovolani,Missouri,United States,35,Singer/Rapper,6,Withdrew,0.101,0.0604243133656241,0.1614243133656241
3,4,Vivica A. Fox,Nick Kosovich,Indiana,United States,42,Actor/Actress,8,Eliminated Week 4,0.1212,0.0402243123656265,0.1614243123656265
3,4,Willa Ford,Maksim Chmerkoskiy,Florida,United States,25,Singer/Rapper,7,Eliminated Week 5,0.1414,0.0434032090245848,0.1848032090245848
3,5,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.1492,0.3335367703435861,0.4827367703435861
3,5,Jerry Springer,Kym Johnson,others,England,62,TV Personality,5,Eliminated Week 7,0.1326,0.0758492513128914,0.2084492513128913
3,5,Joey Lawrence,Edyta Sliwinska,Pennsylvania,United States,30,Actor/Actress,3,Eliminated Week 9,0.1381,0.0834365147489619,0.2215365147489619
3,5,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.1492,0.3335371722612745,0.4827371722612745
3,5,Monique Coleman,Louis van Amstel,South Carolina,United States,25,Actor/Actress,4,Eliminated Week 8,0.1492,0.079806314125245,0.229006314125245
3,5,Sara Evans,Tony Dovolani,Missouri,United States,35,Singer/Rapper,6,Withdrew,0.1326,0.0552169891040202,0.1878169891040202
3,5,Willa Ford,Maksim Chmerkoskiy,Florida,United States,25,Singer/Rapper,7,Eliminated Week 5,0.1492,0.0386169881040205,0.1878169881040205
3,6,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.2119,0.3663569042456833,0.5782569042456833
3,6,Jerry Springer,Kym Johnson,others,England,62,TV Personality,5,Eliminated Week 7,0.1525,0.0845506479276692,0.2370506479276692
3,6,Joey Lawrence,Edyta Sliwinska,Pennsylvania,United States,30,Actor/Actress,3,Eliminated Week 9,0.2034,0.0935035069277614,0.2969035069277614
3,6,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.2373,0.3663573675079299,0.60365736750793
3,6,Monique Coleman,Louis van Amstel,South Carolina,United States,25,Actor/Actress,4,Eliminated Week 8,0.1949,0.089231573390956,0.2841315733909559
3,7,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.2111,0.3832395889388337,0.5943395889388337
3,7,Jerry Springer,Kym Johnson,others,England,62,TV Personality,5,Eliminated Week 7,0.1704,0.0724276660020753,0.2428276660020752
3,7,Joey Lawrence,Edyta Sliwinska,Pennsylvania,United States,30,Actor/Actress,3,Eliminated Week 9,0.2111,0.0830815573117129,0.2941815573117129
3,7,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.2074,0.3832400594221195,0.5906400594221195
3,7,Monique Coleman,Louis van Amstel,South Carolina,United States,25,Actor/Actress,4,Eliminated Week 8,0.2,0.0780111283252586,0.2780111283252586
3,8,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.2477,0.417799245365613,0.665499245365613
3,8,Joey Lawrence,Edyta Sliwinska,Pennsylvania,United States,30,Actor/Actress,3,Eliminated Week 9,0.2477,0.0852397511688286,0.3329397511688286
3,8,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.2615,0.4177992395869572,0.6792992395869573
3,8,Monique Coleman,Louis van Amstel,South Carolina,United States,25,Actor/Actress,4,Eliminated Week 8,0.2431,0.0791617638786012,0.3222617638786012
3,9,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.3333,0.4567530173889085,0.7900530173889084
3,9,Joey Lawrence,Edyta Sliwinska,Pennsylvania,United States,30,Actor/Actress,3,Eliminated Week 9,0.3333,0.0864938278784367,0.4197938278784366
3,9,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.3333,0.4567531547326547,0.7900531547326547
3,10,Emmitt Smith,Cheryl Burke,Florida,United States,37,Athlete,1,1st Place,0.5,0.5000000004999999,1.0000000005
3,10,Mario Lopez,Karina Smirnoff,California,United States,32,Actor/Actress,2,2nd Place,0.5,0.4999999995,0.9999999995
4,1,Apolo Anton Ohno,Julianne Hough,Washington,United States,24,Athlete,1,1st Place,0.1019,0.1720965190589759,0.2739965190589759
4,1,Billy Ray Cyrus,Karina Smirnoff,Kentucky,United States,45,Singer/Rapper,5,Eliminated Week 8,0.0631,0.0760140400509419,0.1391140400509419
4,1,Clyde Drexler,Elena Grinenko,Louisiana,United States,44,Athlete,8,Eliminated Week 5,0.0777,0.0660504407094605,0.1437504407094605
4,1,Heather Mills,Jonathan Roberts,others,England,39,Model,7,Eliminated Week 6,0.0874,0.0555981779689048,0.1429981779689048
4,1,Ian Ziering,Cheryl Burke,New Jersey,United States,42,Actor/Actress,4,Eliminated Week 9,0.1019,0.0713353724857627,0.1732353724857627
4,1,Joey Fatone,Kym Johnson,New York,United States,30,Singer/Rapper,2,2nd Place,0.1165,0.172097185104699,0.288597185104699
4,1,John Ratzenberger,Edyta Sliwinska,Connecticut,United States,59,Actor/Actress,6,Eliminated Week 7,0.0825,0.0679028850574493,0.1504028850574493
4,1,Laila Ali,Maksim Chmerkoskiy,Florida,United States,29,Athlete,3,3rd Place,0.1117,0.1720971869331131,0.283797186933113
4,1,Leeza Gibbons,Tony Dovolani,South Carolina,United States,50,TV Personality,9,Eliminated Week 4,0.0728,0.0564949292309321,0.1292949292309321
4,1,Paulina Porizkova,Alec Mazo,others,Czechoslovakia,41,Model,11,Eliminated Week 2,0.0922,0.0432475775896665,0.1354475775896665
4,1,Shandi Finnessey,Brian Fortuna,Missouri,United States,28,Beauty Pagent,10,Eliminated Week 3,0.0922,0.047065685810094,0.139265685810094
4,2,Apolo Anton Ohno,Julianne Hough,Washington,United States,24,Athlete,1,1st Place,0.1061,0.1746743439527768,0.2807743439527768
4,2,Billy Ray Cyrus,Karina Smirnoff,Kentucky,United States,45,Singer/Rapper,5,Eliminated Week 8,0.0857,0.0758680917207208,0.1615680917207207
4,2,Clyde Drexler,Elena Grinenko,Louisiana,United States,44,Athlete,8,Eliminated Week 5,0.0735,0.0654361403319192,0.1389361403319192
4,2,Heather Mills,Jonathan Roberts,others,England,39,Model,7,Eliminated Week 6,0.098,0.0544096442620958,0.1524096442620958
4,2,Ian Ziering,Cheryl Burke,New Jersey,United States,42,Actor/Actress,4,Eliminated Week 9,0.0898,0.0709776546223991,0.1607776546223991
4,2,Joey Fatone,Kym Johnson,New York,United States,30,Singer/Rapper,2,2nd Place,0.098,0.1746749705615853,0.2726749705615853
4,2,John Ratzenberger,Edyta Sliwinska,Connecticut,United States,59,Actor/Actress,6,Eliminated Week 7,0.0857,0.0673807947145608,0.1530807947145608
4,2,Laila Ali,Maksim Chmerkoskiy,Florida,United States,29,Athlete,3,3rd Place,0.1102,0.1746750396506392,0.2848750396506392
4,2,Leeza Gibbons,Tony Dovolani,South Carolina,United States,50,TV Personality,9,Eliminated Week 4,0.0857,0.0553597858324364,0.1410597858324364
4,2,Paulina Porizkova,Alec Mazo,others,Czechoslovakia,41,Model,11,Eliminated Week 2,0.0857,0.0412217666754337,0.1269217666754337
4,2,Shandi Finnessey,Brian Fortuna,Missouri,United States,28,Beauty Pagent,10,Eliminated Week 3,0.0816,0.0453217676754327,0.1269217676754327
4,3,Apolo Anton Ohno,Julianne Hough,Washington,United States,24,Athlete,1,1st Place,0.1055,0.1836594268859008,0.2891594268859008
4,3,Billy Ray Cyrus,Karina Smirnoff,Kentucky,United States,45,Singer/Rapper,5,Eliminated Week 8,0.0963,0.079349644374403,0.175649644374403
4,3,Clyde Drexler,Elena Grinenko,Louisiana,United States,44,Athlete,8,Eliminated Week 5,0.0734,0.0679562342101801,0.1413562342101801
4,3,Heather Mills,Jonathan Roberts,others,England,39,Model,7,Eliminated Week 6,0.1101,0.0557405126899315,0.1658405126899315
4,3,Ian Ziering,Cheryl Burke,New Jersey,United States,42,Actor/Actress,4,Eliminated Week 9,0.1101,0.0740253740747054,0.1841253740747054
4,3,Joey Fatone,Kym Johnson,New York,United States,30,Singer/Rapper,2,2nd Place,0.1101,0.1836600872163811,0.2937600872163811
4,3,John Ratzenberger,Edyta Sliwinska,Connecticut,United States,59,Actor/Actress,6,Eliminated Week 7,0.0917,0.070090756141118,0.161790756141118
4,3,Laila Ali,Maksim Chmerkoskiy,Florida,United States,29,Athlete,3,3rd Place,0.0963,0.1836601437397612,0.2799601437397612
4,3,Leeza Gibbons,Tony Dovolani,South Carolina,United States,50,TV Personality,9,Eliminated Week 4,0.1101,0.0568015874574395,0.1669015874574395
4,3,Shandi Finnessey,Brian Fortuna,Missouri,United States,28,Beauty Pagent,10,Eliminated Week 3,0.0963,0.0450562332101791,0.1413562332101791
4,4,Apolo Anton Ohno,Julianne Hough,Washington,United States,24,Athlete,1,1st Place,0.1368,0.195520106787828,0.332320106787828
4,4,Billy Ray Cyrus,Karina Smirnoff,Kentucky,United States,45,Singer/Rapper,5,Eliminated Week 8,0.1105,0.0829093290161363,0.1934093290161363
4,4,Clyde Drexler,Elena Grinenko,Louisiana,United States,44,Athlete,8,Eliminated Week 5,0.0789,0.0679639503308184,0.1468639503308184
4,4,Heather Mills,Jonathan Roberts,others,England,39,Model,7,Eliminated Week 6,0.1211,0.0559723492862385,0.1770723492862385
4,4,Ian Ziering,Cheryl Burke,New Jersey,United States,42,Actor/Actress,4,Eliminated Week 9,0.1263,0.0769198200901124,0.2032198200901124
4,4,Joey Fatone,Kym Johnson,New York,United States,30,Singer/Rapper,2,2nd Place,0.1474,0.1955207812184199,0.3429207812184199
4,4,John Ratzenberger,Edyta Sliwinska,Connecticut,United States,59,Actor/Actress,6,Eliminated Week 7,0.0842,0.0724653882000016,0.1566653882000016
4,4,Laila Ali,Maksim Chmerkoskiy,Florida,United States,29,Athlete,3,3rd Place,0.1105,0.195520882996498,0.306020882996498
4,4,Leeza Gibbons,Tony Dovolani,South Carolina,United States,50,TV Personality,9,Eliminated Week 4,0.0842,0.0572073920739463,0.1414073920739463
4,5,Apolo Anton Ohno,Julianne Hough,Washington,United States,24,Athlete,1,1st Place,0.1705,0.2110715620582521,0.3815715620582521
4,5,Billy Ray Cyrus,Karina Smirnoff,Kentucky,United States,45,Singer/Rapper,5,Eliminated Week 8,0.0966,0.0873001705565788,0.1839001705565788
4,5,Clyde Drexler,Elena Grinenko,Louisiana,United States,44,Athlete,8,Eliminated Week 5,0.0739,0.0681402627075593,0.1420402627075593
4,5,Heather Mills,Jonathan Roberts,others,England,39,Model,7,Eliminated Week 6,0.1193,0.0557257005222026,0.1750257005222026
4,5,Ian Ziering,Cheryl Burke,New Jersey,United States,42,Actor/Actress,4,Eliminated Week 9,0.1364,0.0803953180277096,0.2167953180277096
4,5,Joey Fatone,Kym Johnson,New York,United States,30,Singer/Rapper,2,2nd Place,0.142,0.2110723173604465,0.3530723173604465
4,5,John Ratzenberger,Edyta Sliwinska,Connecticut,United States,59,Actor/Actress,6,Eliminated Week 7,0.1023,0.0752222506120039,0.1775222506120038
4,5,Laila Ali,Maksim Chmerkoskiy,Florida,United States,29,Athlete,3,3rd Place,0.1591,0.211072418155247,0.370172418155247
4,6,Apolo Anton Ohno,Julianne Hough,Washington,United States,24,Athlete,1,1st Place,0.1647,0.230215565606699,0.394915565606699
